Package	Version	License
AnnotationDbi	1.64.1	Artistic-2.0
AnnotationHub	3.10.1	Artistic-2.0
ape	5.8-1	GPL-2 | GPL-3
aws.s3	0.3.21	GPL (>= 2)
Azimuth	0.5.0	GPL-3 | file LICENSE
base	4.3.3	Part of R 4.3.3
base64enc	0.1-3	GPL-2 | GPL-3
batchelor	1.18.1	GPL-3
beepr	2.0	GPL-3
beeswarm	0.4.0	Artistic-2.0
BiocParallel	1.36.0	GPL-2 | GPL-3
biomaRt	2.58.2	Artistic-2.0
bit64	4.6.0-1	GPL-2 | GPL-3
blastula	0.3.6	MIT + file LICENSE
Boruta	8.0.0	GPL (>= 2)
bslib	0.9.0	MIT + file LICENSE
bsutils	0.0.0.9000	MIT + file LICENSE
caret	7.0-1	GPL (>= 2)
circlize	0.4.16	MIT + file LICENSE
cluster	2.1.8.1	GPL (>= 2)
colorspace	2.1-1	BSD_3_clause + file LICENSE
colourpicker	1.3.0	MIT + file LICENSE
ComICS	1.0.4	GPL-2
ComplexHeatmap	2.18.0	MIT + file LICENSE
cookies	0.2.3	MIT + file LICENSE
corpcor	1.6.10	GPL (>= 3)
corpora	0.7	GPL-3
corrplot	0.95	MIT + file LICENSE
cowplot	1.1.3	GPL-2
curl	6.4.0	MIT + file LICENSE
data.table	1.17.6	MPL-2.0 | file LICENSE
DBI	1.2.3	LGPL (>= 2.1)
DeconRNASeq	1.44.0	GPL-2
DESeq2	1.42.1	LGPL (>= 3)
dplyr	1.1.4	MIT + file LICENSE
DT	0.33	GPL-3 | file LICENSE
edgeR	4.0.16	GPL (>=2)
ellmer	0.2.1	MIT + file LICENSE
EPIC	1.1.7	file LICENSE
fastcluster	1.3.0	FreeBSD | GPL-2 | file LICENSE
fgsea	1.33.1	MIT + file LICENCE
firebase	1.0.2	AGPL-3
FNN	1.1.4.1	GPL (>= 2)
forcats	1.0.0	MIT + file LICENSE
future	1.58.0	LGPL (>= 2.1)
GenomicRanges	1.54.1	Artistic-2.0
GEOquery	2.70.0	MIT
GGally	2.2.1	GPL (>= 2.0)
ggforce	0.5.0	MIT + file LICENSE
ggiraph	0.8.13	GPL-3
ggplot2	3.5.2	MIT + file LICENSE
ggpubr	0.6.1	GPL (>= 2)
ggrepel	0.9.6	GPL-3 | file LICENSE
ggtext	0.1.2	GPL-2
ggVennDiagram	1.5.4	GPL-3
glasso	1.11	GPL-2
glmnet	4.1-9	GPL-2
glue	1.8.0	MIT + file LICENSE
GO.db	3.18.0	Artistic-2.0
gplots	3.2.0	GPL-2
gprofiler2	0.2.3	GPL (>= 2)
graphics	4.3.3	Part of R 4.3.3
grDevices	4.3.3	Part of R 4.3.3
grid	4.3.3	Part of R 4.3.3
gridExtra	2.3	GPL (>= 2)
grimon	1.0.0	GPL (>= 3)
GSEABase	1.64.0	Artistic-2.0
GSVA	1.50.5	GPL (>= 2)
harmony	1.2.3	GPL-3
heatmaply	1.5.0	GPL-2 | GPL-3
HiClimR	2.2.1	GPL-3
htmltools	0.5.8.1	GPL (>= 2)
htmlwidgets	1.6.4	MIT + file LICENSE
httr	1.4.7	MIT + file LICENSE
igraph	2.1.4	GPL (>= 2)
iheatmapr	0.7.1	MIT + file LICENSE
inspectdf	0.0.12.1	GPL-2
