"","[public-data1] act_vs_notact","[public-data1] act12h_vs_notact","[public-data1] act24h_vs_notact","[public-data1] act48h_vs_notact","[public-data1] act72h_vs_notact","[public-data1] act96h_vs_notact","[public-data2] act_vs_notact","[public-data2] act12h_vs_notact","[public-data2] act24h_vs_notact","[public-data2] act48h_vs_notact","[public-data2] act72h_vs_notact","[public-data2] act96h_vs_notact","[public-data3] act_vs_notact","[public-data3] act12h_vs_notact","[public-data3] act24h_vs_notact","[public-data3] act48h_vs_notact","[public-data3] act72h_vs_notact","[public-data3] act96h_vs_notact"
"MKI67",2.78226843140632,-1.31467722544088,-2.85917057458987,5.41810698663807,5.48756198117938,5.51293789162842,2.78226843140632,-1.31467722544088,-2.85917057458987,5.41810698663807,5.48756198117938,5.51293789162842,2.78226843140632,-1.31467722544088,-2.85917057458987,5.41810698663807,5.48756198117938,5.51293789162842
"TOPORS",4.34966483609031,0,9.52464262337144,9.35074049500261,3.10219962116366,3.99509745593272,4.34966483609031,0,9.52464262337144,9.35074049500261,3.10219962116366,3.99509745593272,4.34966483609031,0,9.52464262337144,9.35074049500261,3.10219962116366,3.99509745593272
"NCAPD2",4.60759007595632,0.651555090234316,-0.792438741924805,7.18128223614822,7.22609369053698,7.17832185116345,4.60759007595632,0.651555090234316,-0.792438741924805,7.18128223614822,7.22609369053698,7.17832185116345,4.60759007595632,0.651555090234316,-0.792438741924805,7.18128223614822,7.22609369053698,7.17832185116345
"STMN2",-1.13807303180417,-5.07101617016733,-5.07101617016733,3.37591672918851,0.684527723237118,-0.323522665245651,-1.13807303180417,-5.07101617016733,-5.07101617016733,3.37591672918851,0.684527723237118,-0.323522665245651,-1.13807303180417,-5.07101617016733,-5.07101617016733,3.37591672918851,0.684527723237118,-0.323522665245651
"NCAPH",3.3709268981285,-0.70513871060914,-0.944391769228521,5.67932455351706,5.80030346154062,5.97801553501795,3.3709268981285,-0.70513871060914,-0.944391769228521,5.67932455351706,5.80030346154062,5.97801553501795,3.3709268981285,-0.70513871060914,-0.944391769228521,5.67932455351706,5.80030346154062,5.97801553501795
"SFN",0.946448212905799,2.22117866721697,-6.18401669598294,1.80768570127479,1.48803312159328,1.8908189873338,0.946448212905799,2.22117866721697,-6.18401669598294,1.80768570127479,1.48803312159328,1.8908189873338,0.946448212905799,2.22117866721697,-6.18401669598294,1.80768570127479,1.48803312159328,1.8908189873338
"NCAPG",3.85718620792348,-0.43840999027754,0.0679873145693908,6.03575276333999,6.39816981207847,6.42455415978629,3.85718620792348,-0.43840999027754,0.0679873145693908,6.03575276333999,6.39816981207847,6.42455415978629,3.85718620792348,-0.43840999027754,0.0679873145693908,6.03575276333999,6.39816981207847,6.42455415978629
"TYMS",3.67647396471185,-0.475138301849885,-0.249112932044393,6.32916155911523,6.21044486575239,5.6619379536702,3.67647396471185,-0.475138301849885,-0.249112932044393,6.32916155911523,6.21044486575239,5.6619379536702,3.67647396471185,-0.475138301849885,-0.249112932044393,6.32916155911523,6.21044486575239,5.6619379536702
"TNIP3",2.85041917104283,7.60368025027473,0,0,0.221920017570696,4.47544417685791,2.85041917104283,7.60368025027473,0,0,0.221920017570696,4.47544417685791,2.85041917104283,7.60368025027473,0,0,0.221920017570696,4.47544417685791
"ATP8B2",-2.30382493289021,0.508874988647488,-6.51494827015795,-6.51494827015795,-1.78488356745663,-0.171166456792313,-2.30382493289021,0.508874988647488,-6.51494827015795,-6.51494827015795,-1.78488356745663,-0.171166456792313,-2.30382493289021,0.508874988647488,-6.51494827015795,-6.51494827015795,-1.78488356745663,-0.171166456792313
