"","[example-data] act_vs_notact","[example-data] act12h_vs_notact","[example-data] act24h_vs_notact","[example-data] act48h_vs_notact","[example-data] act72h_vs_notact","[example-data] act96h_vs_notact","[GSE157905-lenvatinib-bc] treatment:Combi_vs_CT","[GSE157905-lenvatinib-bc] treatment:Gefitinib_vs_CT","[GSE157905-lenvatinib-bc] treatment:Lenvatinib_vs_CT","[GSE88808-prostate] old_normal_vs_young_normal","[GSE88808-prostate] old_tumor_vs_old_normal","[GSE88808-prostate] old_tumor_vs_young_tumor","[GSE88808-prostate] young_tumor_vs_young_normal"
"MTHFD2",5.76119358866614,3.8128913838358,5.87355919555974,6.85528298869998,6.7256899723022,5.96841555120275,-0.79633785650235,-0.443316863867837,-0.0591335059462074,0.0912835256940709,0.791380594637894,0.123073174305925,0.75959094602604
"KCNN4",7.46222672083997,5.65663142846639,9.4661033975272,9.69007288652098,8.93733901227694,4.47642204710397,-0.187913196708794,-0.236076985806711,0.0215474365205533,NA,NA,NA,NA
"MCM7",4.76362989090842,1.07739213165404,4.5006320937037,5.98858734552473,6.43382474631389,6.50518180661798,-0.723853548888689,-0.303777555200426,-0.0947668066595083,0.11556956290215,0.153119903554062,-0.123724563479039,0.392414029935251
"POTEE",-7.23836533004638,-7.35880092737205,-7.18600106737799,-8.16919544394855,-7.04737280334566,-6.43759078728829,NA,NA,NA,-0.144020964415347,-0.00240658645102017,0.305897508681797,-0.452325059548164
"UHRF1",4.15699179541831,-0.55176952194204,5.02180892943247,6.23054585839019,5.90266989877729,5.68284120381227,-0.698763239929998,-0.270046443040597,-0.0291953982146437,0.284358904257708,0.356436370899784,0.112697719391753,0.52809755576574
"UCK2",4.87748305504891,2.69417923383042,6.13032753412145,6.81153274309084,5.4510325228342,4.42293101882087,-0.707175347713033,-0.347559418507917,-0.0134531703179158,0.0815308229029904,0.619819559252892,-0.0352991951361303,0.736649577292013
"NCAPG",3.85718620792348,-0.43840999027754,0.0679873145693908,6.03575276333999,6.39816981207847,6.42455415978629,-0.277186845382485,-0.0372946494888383,-0.0183679597097584,-0.012261075747988,0.851672348003894,-0.0980193517591742,0.93743062401508
"MYOF",4.27839407626898,0.9502261645362,2.69809787238099,6.19011160340503,6.00367150635017,5.55872373575627,0.208030048411114,-0.0477406203250913,0.0873797138004318,-0.116154501951456,-1.03704512714715,-0.162228001100716,-0.990971627997888
"MKI67",2.78226843140632,-1.31467722544088,-2.85917057458987,5.41810698663807,5.48756198117938,5.51293789162842,-0.440632983113356,-0.0557037001888384,-0.155441210708043,0.152851275503845,0.542630293312483,-0.1968090859296,0.892290654745928
"ETAA1",-7.60139498369234,-7.60139498369234,-7.60139498369234,-7.60139498369234,-7.60139498369234,-7.60139498369234,0.391047008277119,0.155480501777747,-0.0616380659949434,NA,NA,NA,NA
"NCAPD2",4.60759007595632,0.651555090234316,-0.792438741924805,7.18128223614822,7.22609369053698,7.17832185116345,NA,NA,NA,-0.050426761103474,0.12669181077991,0.0538220744460848,0.0224429752303511
"TOPORS",4.34966483609031,0,9.52464262337144,9.35074049500261,3.10219962116366,3.99509745593272,0.205657628467111,0.0820465628252392,-0.047631144000223,NA,NA,NA,NA
"ANLN",6.77682541251771,3.63527711180054,7.26685487543027,9.34339052174744,7.11457060876678,7.81573299087517,-0.195040146463476,-0.0160359201182256,0.0345144257792522,NA,NA,NA,NA
"TFRC",4.52382404691046,2.88365750199562,4.75203826039155,5.51966703998331,5.06916003103803,4.91343848909214,-1.00619404813778,-0.554181174627364,-0.0892481521542668,-0.110988390333671,0.358066375525338,0.0276269840925295,0.219451001099137
"RRM2",3.82161645816916,1.25666281894493,-0.135259291898443,6.14521550339826,5.57937937461926,5.02691328684316,-0.931602955531143,-0.431011064433897,-0.0875517917782804,0.040126073881534,0.471094491396234,-0.0673163260030686,0.578536891280837
"CDKN1B",-5.93571262866772,-2.65934927833668,-7.65875067107292,-7.56914760119042,-7.15226858955864,-6.12251579998202,0.776700793751734,0.458807218369718,0.182495955620571,NA,NA,NA,NA
"CENPJ",7.1702277778238,7.80706362878341,6.85940621092161,6.55948725148138,7.05047501028272,7.25003829732802,-0.245795278790822,-0.0345280022289236,-0.0370477408137422,NA,NA,NA,NA
"CTNNBIP1",-6.6731436621393,-6.6731436621393,-6.6731436621393,-6.6731436621393,-6.6731436621393,-6.6731436621393,0.830948534343976,0.599818793432508,0.254419668325425,NA,NA,NA,NA
"ATP8B2",-2.30382493289021,0.508874988647488,-6.51494827015795,-6.51494827015795,-1.78488356745663,-0.171166456792313,0.0232591678428496,-0.194751645351041,0.076577817671945,-0.00476459089461567,0.0516865681329713,0.2715142161746,-0.224592238936244
"FSCN1",3.79089913300886,1.08153541494545,2.84122102646978,1.2545533139192,6.88625962271372,6.36713221712139,0.43516988667026,0.312982751746097,0.214906675028692,0.239384033725572,-0.176077792067363,0.0605818827653817,0.00272435889282718
"DHFR",3.56627576466908,-0.464242735038883,2.09930854749872,6.34805631030918,5.62306232100941,4.42392564474237,0.0707213150729308,0.302665871233521,-0.0551330876686708,0.0270117264912422,0.294536081755856,-0.0481755578426061,0.369723366089704
"TPX2",2.92102939791507,-0.982393425665156,-0.679524303651236,5.69462818536472,5.14005932652769,4.68094159656848,-0.376837387463185,-0.117593856723603,-0.0700531244020113,-0.0526785199803178,0.457264230222664,-0.115366195423822,0.519951905666168
"KPNA2",6.56230705159444,5.41130523468524,6.53192111265532,8.06941230556895,6.95655089247405,6.1271974918398,-0.366620053272587,-0.119602261529318,-0.00346530891682188,NA,NA,NA,NA
"SLC1A5",4.20240603753571,2.59681115070897,4.65805834804036,5.35346520893776,4.87214022466452,4.07724663187699,-0.873596955072065,-0.442964610205765,-0.0698823450410782,-0.244708448739158,0.511769197210359,0.0308703355124328,0.236190412958769
"CDK1",4.92905957044047,0.929329044105231,1.78175392986845,7.42954798904934,7.10413437686743,6.88184626891432,-0.415659094743318,-0.0855313998360856,0.0313701651978642,NA,NA,NA,NA
"ATAD2",3.39634887633416,-0.264214005836051,3.1437449778579,5.1056181900498,5.02863698210944,4.66429975824212,-0.241840088195584,-0.00891131373753081,-0.0524554783577358,-0.148343622944528,-0.215046965449444,-0.182830194374894,-0.180560394019078
"PGAP1",-2.23259642573716,-5.74302464279215,-5.91564808490982,1.52224863612701,0.16036463659471,-2.1930342440779,0.2442147917572,0.257772537832307,0.0246661052083326,-0.0479633734499976,-0.508007141247253,-0.139491378785541,-0.41647913591171
"ASNS",5.9567217636896,5.17478601214387,5.88429169767325,6.45308371118058,6.38359127334901,5.9986938401287,NA,NA,NA,0.159744876461098,0.457938662794096,0.066385575391483,0.551297963863711
"PBXIP1",-3.43143213859672,-2.57555757758864,-4.6102409366989,-4.40968123621332,-4.48230366626251,-1.46518583757103,2.0160614527803,1.23205396427045,0.250020119269317,0.000544754338854148,-0.483860642770557,-0.107722494275145,-0.375593394156558
"CCNE2",-6.50339847229647,-5.71883878707712,-6.77645600979928,-6.77645600979928,-6.77645600979928,-6.77645600979928,-0.586993065605733,-0.0200706136445487,-0.051454305398764,NA,NA,NA,NA
"ANK3",-2.98746497801315,-0.0226068705518998,-1.41096994769875,-3.7987580709331,-4.22934666672127,-5.53308701590142,1.18502425587603,0.535259142716024,0.183153917016122,-0.153859326464112,0.552718292716128,-0.088673278673256,0.487532244925272
