"","notact_004","notact_007","notact_008","notact_009","notact_010","notact_011","notact_014","act12h_018","act12h_019","act12h_020","act24h_023","act48h_026","act48h_027","act72h_028","act72h_029","act72h_030","act96h_032","act96h_034"
"A1BG",37.4543310014858,100.52766217138,47.6722522866001,132.182207986537,33.5610650050292,37.9705998186336,34.7754131290294,36.6525457746247,463.036608828086,6.16685125486471,13.5497160181325,1.82710119698902,20.3920101342161,0.808728797470142,0.821304173373089,2.03541870438329,2.90460015179791,1.67436080729661
"A2LD1",5.7553786213648,6.1483363891433,32.5832672247075,4.02611014850868,35.4671518174319,37.7512844028563,6.3379889525321,12.2832167176385,3.62310739316424,7.98304723203885,3.7498094089215,0,3.21260504562936,0,10.3301531564206,0,1.5264996797163,3.75251271497799
"A2M",1462.72097451895,1325.35263557836,1426.38063857113,1733.85237099708,513.601817605393,719.445201414456,872.943086955952,900.89229137816,3088.17223681762,429.243087751859,384.943138560496,536.873485642266,211.337597580915,189.449053125126,232.302676516644,173.742407153042,365.598990558143,364.472976610569
"AAAS",16.9421192055848,47.3997894865693,15.9423527479794,50.8598762241792,10.9935363243409,47.0618600069038,21.9303797348616,33.4898655425375,28.5636628808534,48.7277717242021,34.4360979269893,77.2967572019075,98.325772717743,79.1040592025553,94.8728249742609,77.5904352756015,59.5740575928058,51.9184247460044
"AACS",3.29282022692722,6.76686837424537,3.81040289119914,8.86097300958996,6.52517398079552,12.1262175075469,5.02885550057092,13.842132344633,3.0339337189501,3.01502860754289,8.83499640043161,11.651551025233,10.3708916278092,14.9017454782772,22.2470004872662,10.0098825438364,33.1656460301674,21.8761328288603
"AAGAB",0,0,0,0,4.80863123392417,6.29818069171712,0,20.5001243957261,2.99449296084467,7.25497192749828,12.2669684185746,2.01086188835945,14.3042308372363,20.4408151658708,16.6217397590575,13.7658165369882,15.1750251879052,13.8639216859538
"AAK1",575.163618430321,861.747062404097,628.458591451069,765.418279505488,776.250627977144,557.845143150637,523.654543555373,357.543346459164,403.261374189938,356.388904774548,213.433334727589,133.291585242418,122.804976454064,183.946753166384,191.515332118678,138.8032283831,216.68428034017,248.187190932577
"AAMP",48.1315994359651,28.85430406492,102.592707860081,54.2887245870033,39.6924554426582,29.8953162536437,58.8303118038122,79.3350594059464,80.8058284480092,38.9528592596727,153.427885601693,95.4854241244268,101.196528643719,72.6868607285023,67.2569130915908,77.3811758631597,76.7067035865531,25.028846628427
"AARS",1054.05167551966,1094.46153727621,969.747919915833,717.63548657112,982.540712988976,748.087949884845,951.109926020874,1017.2824217451,1189.92836781629,1099.55779113101,1229.20852715062,1578.42094438121,1323.22043819294,1495.66796184872,1562.34966099862,1611.15270229977,1339.21880219016,1598.54570739289
"AARS2",101.86532415008,88.3432495142731,72.963335215679,172.801930523982,101.952450259648,62.1513998966424,84.3860783129549,68.1954086960704,78.2740433190058,70.4906467693285,49.960135427736,56.5578437447326,48.0002856483456,68.352969875397,70.8926704023812,60.5549258958664,43.9968863703001,72.5419164126775
"AARSD1",43.4253021653489,68.5894158009694,44.0251255322241,47.3448040368996,23.5379438350704,43.5512074840688,38.3568409120944,60.7717818262856,32.9448627869762,34.6612056413486,38.1986755528828,79.2392877283368,96.4401133077542,84.3375259583319,69.1471385830424,73.9194512528407,44.7674603250366,55.4429075659221
