gene,1,2,3,4,5,6,7,8
A1BG,454,367,485,438,353,430,347,553
A1BG-AS1,80,112,63,59,91,105,127,75
A1CF,0,1,0,0,0,4,4,4
A2M,128,58,42,41,77,130,199,106
A2M-AS1,60,54,60,55,79,72,101,77
A2ML1,4,10,0,12,12,8,0,5
A2MP1,14,23,39,30,37,32,41,42
A4GALT,0,0,1,0,0,0,0,0
A4GNT,0,0,0,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0
AAAS,3317,2810,2657,2715,2703,2835,2647,3263
AACS,1439,1069,1262,1206,1035,1043,1062,1476
AACSP1,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0
AADAT,0,0,0,0,0,0,0,0
AAED1,665,694,852,784,551,742,619,795
AAGAB,3024,3044,2701,3607,2542,2758,2394,2846
AAK1,28206,28468,22976,30549,24942,29143,32049,32917
AAMDC,257,271,243,272,235,237,225,273
AAMP,3933,3910,3888,4825,3932,3822,3043,4769
AANAT,28,29,65,7,33,10,12,19
AAR2,3276,2604,2561,3142,1945,2264,1884,2353
AARD,0,0,0,9,1,12,0,0
AARS,3874,3948,3783,4588,4240,3132,3701,4560
AARS2,2639,2309,2531,2878,2514,2351,2444,2586
AARSD1,3,0,0,0,0,0,1,0
AASDH,1485,1621,1687,2192,1484,1332,1677,1624
AASDHPPT,1149,1565,1281,1705,1220,1635,1585,1284
AASS,850,527,661,758,1031,1106,1842,1554
AATF,7035,7744,6984,8980,6444,6589,5393,7828
AATK,86,21,33,26,65,46,64,54
AATK-AS1,0,0,0,0,0,0,4,0
ABAT,1219,1527,813,1344,737,1076,997,1183
ABCA1,859,911,936,1705,847,1030,1024,1272
ABCA10,179,157,112,118,186,155,115,151
ABCA11P,447,587,386,615,541,333,500,368
ABCA12,0,10,4,0,0,10,1,0
ABCA13,4,8,2,0,0,0,0,0
ABCA17P,29,27,12,38,43,26,28,7
ABCA2,20548,19260,12602,15957,17572,19289,11301,15137
ABCA3,1630,1192,1535,1543,1289,1107,1015,1163
ABCA4,0,0,0,0,1,4,0,0
ABCA5,2756,3673,2169,2602,2892,4502,4527,3058
ABCA6,62,16,51,17,37,7,20,27
ABCA7,25148,21131,21236,24561,27300,24770,26929,33796
ABCA8,0,0,0,0,0,0,0,0
ABCA9,39,7,3,5,4,11,10,9
ABCB1,623,370,292,372,1319,963,1047,951
ABCB10,2004,2983,2296,2840,2262,3604,2096,2664
ABCB11,0,0,4,1,0,0,0,0
ABCB4,6,0,4,0,10,17,8,3
ABCB5,0,8,3,3,0,1,6,0
ABCB6,657,459,460,495,493,463,454,585
ABCB7,2129,2266,2070,2844,2113,2090,2117,2395
ABCB8,3773,3149,3057,3814,3344,3010,2836,3506
ABCB9,316,175,251,232,428,403,222,189
ABCC1,15643,15573,15138,18599,12378,13258,12621,18760
ABCC10,4825,4594,4162,5913,4699,4507,4258,5039
ABCC11,10,5,4,3,16,2,4,1
ABCC12,0,0,0,0,0,0,0,0
ABCC13,0,0,0,0,0,0,0,0
ABCC2,667,534,823,846,837,709,533,705
ABCC3,95,15,0,0,10,6,14,29
ABCC4,911,1395,1057,1316,945,1095,762,946
ABCC5,3636,2977,2987,3692,3412,3394,3793,4248
ABCC5-AS1,0,0,0,0,0,0,0,0
ABCC6,72,128,89,51,96,69,121,145
ABCC6P1,0,0,0,0,0,0,0,0
ABCC6P2,0,2,0,0,0,0,0,0
ABCC8,0,0,0,0,0,0,0,0
ABCC9,6427,7044,5843,7807,6661,9372,8380,7611
ABCD1,1668,1189,1603,1758,1557,1452,1276,1871
ABCD2,2841,3104,3494,3913,3458,3539,3967,3429
ABCD3,1454,1820,1376,1703,1444,1692,1707,1696
ABCD4,4822,4409,3816,4501,3847,4454,3664,4624
ABCE1,3821,5479,4294,6051,4830,6243,6335,5687
ABCF1,6351,6530,6148,7791,6012,6522,5473,7601
ABCF2,3931,3426,3836,4532,4295,3869,3881,5344
ABCF3,4545,4644,4097,4846,4427,4064,3975,5514
ABCG1,2018,2038,1641,2712,1367,1672,2004,2598
ABCG2,159,154,17,5,219,245,29,81
ABCG4,0,8,0,0,1,1,0,0
ABCG5,0,0,0,0,0,1,0,0
ABCG8,0,0,9,0,4,0,0,2
ABHD1,52,54,35,51,82,96,82,57
ABHD10,1485,1551,1503,1841,1412,1484,1544,1200
ABHD11,728,772,836,1044,702,873,714,1020
ABHD12,2021,1883,1901,2419,2126,2044,1631,2151
ABHD12B,0,0,0,0,0,0,0,0
ABHD13,2202,2832,3124,3983,2860,4756,3246,2743
ABHD14A,911,811,680,917,667,644,613,778
ABHD14A-ACY1,0,0,0,0,0,0,0,0
ABHD14B,10175,7728,7961,9872,8381,7809,8133,9591
ABHD15,3557,3415,3679,3731,4145,4125,2697,3209
ABHD16A,3167,2780,3048,3604,3153,2655,2498,3398
ABHD16B,428,511,297,427,400,348,441,490
ABHD2,5981,6542,5961,7262,5493,5263,5577,5878
ABHD3,3200,3382,2833,3614,3026,3950,3141,3445
ABHD4,1138,773,944,1024,869,756,786,914
ABHD5,531,671,512,881,548,810,630,871
ABHD6,149,158,205,187,164,154,190,300
ABHD8,989,830,673,861,823,850,561,836
ABI1,7946,8743,7611,9973,7846,9889,7779,8498
ABI2,4751,4461,4780,4974,4698,5030,4641,5024
ABI3,601,671,623,701,388,480,473,777
ABI3BP,8,3,9,5,6,1,0,7
ABL1,6726,5316,4997,5913,5063,4935,3803,4708
ABL2,4742,4823,4158,4985,4197,4167,5395,5338
ABLIM1,46225,44674,39340,55074,41972,41629,43975,55818
ABLIM2,249,185,193,213,240,161,145,190
ABLIM3,1,15,1,13,0,0,5,7
ABO,1,0,1133,1157,1,2,1,0
ABP1,0,0,0,0,0,0,0,0
ABR,12658,11450,10620,12498,10550,10683,8804,11185
ABRA,23,33,21,8,2,9,8,23
ABRACL,2644,4436,3832,4847,3399,4309,3149,3606
ABT1,4532,3467,3907,4620,3118,3618,3153,3608
ABTB1,10795,10913,8931,10420,8322,8651,8800,10997
ABTB2,257,155,154,128,164,148,161,250
ACAA1,5309,5395,5580,6473,4912,5096,4329,5983
ACAA2,3094,2884,2621,3413,3708,3110,1846,2343
ACACA,2115,2178,1779,2410,1806,1584,1718,2022
ACACB,6596,5363,3397,4143,3521,2743,4731,5001
ACAD10,3936,3422,3176,3847,3604,3160,3211,3827
ACAD11,573,433,425,587,565,443,406,546
ACAD8,2811,2764,2813,3337,2771,2787,2400,3471
ACAD9,1922,1893,1753,2083,1812,1515,1724,2010
ACADL,0,0,0,0,0,0,0,0
ACADM,1501,1753,1833,2059,1510,1897,1529,1928
ACADS,1295,1431,1300,1496,1406,1409,1163,1393
ACADSB,5308,5128,4079,4432,4509,4859,4564,5197
ACADVL,17135,15595,18872,18006,23653,18921,14213,18688
ACAN,85,57,69,98,82,43,91,142
ACAP1,51822,43960,41889,50806,46517,47607,39089,49481
ACAP2,7899,8609,8066,9828,8377,11409,8992,9291
ACAP3,7355,6660,7058,8131,6984,8073,5496,6994
ACAT1,1209,1607,1289,1699,1571,1826,1173,1430
ACAT2,835,1183,1055,1459,948,1161,1041,1459
ACBD3,2517,2889,2368,3358,2519,3102,2722,2852
ACBD4,3534,2901,2665,3065,2920,2495,3164,3183
ACBD5,3136,3305,2652,4452,2542,3511,2620,2995
ACBD6,2376,2304,2582,2915,2326,2774,2269,2614
ACBD7,39,6,54,31,48,37,53,34
ACCS,2677,2611,3335,4275,1201,941,1179,1222
ACCSL,7,0,0,1,0,0,0,0
ACD,2216,1870,2184,2225,2123,1843,1529,2134
