 	CD8+ T cells	CD4+ T cells	CD4Tcell-Th1-restimulated12hour	CD4Tcell-Th1-restimulated48hour	CD4Tcell-Th2-restimulated12hour	CD4Tcell-Th2-restimulated48hour	MemoryTcell-RO-unactivated	MemoryTcell-RO-activated	NKcell-control	NKcell-IL2stimulated	NKcell-IL15stimulated	Bcell-naive	Bcell-Memory_IgG_IgA	Bcell-Memory_IgM	PlasmaCell-FromPBMC	PlasmaCell-FromBoneMarrow	Monocyte-Day0	Monocyte-Day1	Monocyte-Day7	DendriticCell-Control	DendriticCell-LPSstimulated	Neutrophil-Resting
ILF2	11.34611131	11.48327366	12.46961015	12.56324713	12.12314734	12.17214348	11.41813407	12.73692939	10.79123921	11.5311549	11.55487204	10.22643525	10.42496459	10.52871342	12.24244382	11.10089357	10.69119586	10.96374745	11.20116038	11.17109974	10.95903076	8.201260398
SEC61A1	10.64949152	10.46295754	10.88175752	11.3863116	11.11967845	11.52055337	11.2850733	11.76963112	10.54214824	11.62159028	11.31618799	9.653652758	10.36517416	10.10405944	13.61606507	12.42301438	10.32945085	10.80795176	11.10877991	10.85607908	10.8823566	9.396811966
PERP	9.094816663	7.949136075	10.17250939	10.8423231	9.139761091	9.071653636	9.8028599	10.20792538	7.044609961	7.475149751	7.332448368	7.497240536	8.067504275	7.783252009	11.77343527	10.60532325	5.452732696	7.538934503	5.893894062	5.520574158	10.01734665	7.267176203
PTPLAD1	11.14479301	10.11164604	12.40205048	12.24871123	12.04276516	11.55156344	10.9980288	11.86762856	11.00718832	11.56149283	11.48435518	9.140872122	9.28470787	9.274786383	11.29946657	10.34983409	9.316377331	9.693057396	12.32544179	11.71448845	10.54998612	8.03577345
CORO1C	8.122953497	8.622738828	9.611167768	10.71948751	9.164027804	9.59785144	8.331478315	9.560583134	8.810157082	9.484494249	9.34908399	8.81372394	9.243048992	8.756970725	9.899319659	8.870417124	11.52066222	11.66219437	12.56588043	11.97702293	10.65475804	10.9150924
SSR3	11.31654388	11.18725886	11.88174816	12.49859935	11.82953565	12.04417733	12.01184421	12.15762263	11.0450296	11.47995311	11.34141754	9.779612433	10.82444329	10.77159532	14.81908727	14.21344174	11.47574462	12.02463129	12.13592306	12.25811416	12.45914619	10.01576209
ALDH18A1	9.96571828	9.491037342	10.98843333	11.03127595	10.61231778	10.20850263	10.15070352	10.40864641	9.405359021	10.04183051	9.914314117	8.43404436	8.720085185	8.473588057	11.34078422	10.31595816	6.768319985	6.40519395	7.596146264	7.003883283	5.562364552	5.955066319
POLDIP2	9.302945021	9.314996301	9.871915246	9.993621059	9.466785481	9.506357174	9.013061145	10.21992154	7.930030599	8.909471911	8.824187613	6.98273939	7.271103477	7.076722086	10.02113174	7.670645628	8.208058736	6.695488151	8.983712842	8.347729133	8.442065727	7.139803035
UBE2J1	10.68368637	10.34047214	10.72861186	11.42382062	10.55204335	10.6841291	10.96614612	10.63281258	10.43427715	10.69823619	10.53410668	10.99383779	11.97891053	11.4183386	14.97685037	13.74906656	10.98108345	11.46676208	11.6108561	10.93699293	10.77923619	11.78095054
ARL8B	9.537659588	9.831203248	10.46950548	11.17985665	10.28545501	10.45017509	10.19476055	11.19856066	10.05910816	10.65372341	10.4737952	8.601102203	8.417249157	8.30331956	10.50895579	9.200840994	10.84737178	13.04916074	12.13850647	11.58658102	12.83961297	9.448543371
METTL9	10.14333028	9.636097107	9.277842981	9.502428071	9.320238702	9.221388143	10.39663867	9.458276044	9.723678434	9.23853085	9.236019774	9.137303339	8.893007197	8.915792008	9.048142621	9.2169477	10.81707039	10.1801489	8.894001723	8.149495642	7.789485826	10.38273987
CMPK1	11.79136489	11.24868426	11.24236581	11.60852805	11.03371	11.01761923	12.41368161	11.6180459	11.05045714	10.73884585	10.89245073	10.18757813	10.30103599	10.26834783	11.40886981	10.27174372	10.12626555	9.820950242	10.77850566	10.70150184	10.35948475	9.064279304
ZDHHC9	7.130982335	8.474899723	8.647393666	7.77633652	8.155648053	4.499505764	7.196013536	8.129655665	4.758476414	6.032475578	6.713865328	5.05617474	6.158241079	5.439606517	8.719421907	7.483529628	5.13389227	5.938091678	8.704477769	7.536280894	6.182291714	5.102372587
CYBRD1	3.560776084	4.083440323	7.204712962	6.611801897	6.538455391	5.883433462	4.981274242	3.771815167	9.625644468	6.792967245	7.174253267	4.31869903	4.471301284	4.145188323	4.875075578	4.069143607	10.31265355	5.375572377	9.16449425	8.22919855	6.514537856	9.896654212
PARVA	6.006258747	5.919125522	4.467246869	3.890122383	4.608730405	4.171286904	6.116108259	3.269831097	5.290553421	5.771880298	5.577277753	7.146803575	7.3846521	6.567343893	4.412623475	6.395804013	5.366718537	4.962896005	4.910360909	4.699884729	5.332928677	6.152572845
LIMA1	8.63668896	8.004171767	9.882563577	10.24262751	11.22377749	10.91440905	8.421944186	10.57680365	7.519925156	7.777870734	7.652767311	6.044803137	7.250075719	5.249141903	5.754059051	5.957949412	6.0542968	6.466550992	8.588582539	7.921443274	7.219021661	5.571543333
BACE1	7.907849068	8.501176379	7.779440309	7.725318537	8.034993326	8.003319262	8.527063817	8.067023769	8.753215913	8.398128866	8.210664851	9.484803334	9.482992441	9.237368923	8.801442157	9.573316295	8.816335438	8.0787219	9.422646319	10.4174714	8.630473426	9.552393211
ADAMTS1	3.264048444	3.15018054	4.106850796	3.641892789	3.062294438	3.076217022	3.199646173	2.647621515	3.959561524	7.192087617	7.562328932	3.89424958	4.37649877	4.564652535	4.665582268	4.409883066	3.028171295	3.500345298	3.033011793	3.229357196	3.432580873	4.185406712
POLR3E	9.129849679	8.369235264	9.494293594	8.54355517	8.734813473	7.922986706	9.033631315	8.701582555	8.744707722	8.279439722	8.011518934	8.257919158	8.013525069	8.206458861	9.080533312	8.618042225	6.83184136	6.219721931	6.582292549	6.729468932	6.094721673	6.048122817
