Gene,CD14_positive_monocyte,CD16_positive_monocyte,CD4_positive_alpha_beta_T_cell,CD56bright_natural_killer_cell,CD56dim_natural_killer_cell,CD8_positive_alpha_beta_T_cell,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,macrophage_m0,macrophage_m1,macrophage_m2,memory_B_cell,myeloid_dendritic_cell,naive_B_cell,neutrophil,plasma_cell,plasmacytoid_dendritic_cell
ABCA5,18.35739316,10.10510825,43.08169689,63.34601174,73.07646838,48.07726769,29.59769478,25.89600813,79.50603251,39.50528962,26.24504449,25.20067931,24.63089669,24.96150249,32.71537791,25.80346609,27.65254384,26.22902496,38.17628543,39.97198466
ABCB1,13.46795258,10.76767912,34.89057521,145.813992,119.9083196,57.4775539,17.73919118,20.12920591,9.894062673,64.56254989,48.18348373,25.32911022,15.4641323,13.56698818,22.47143424,16.53728547,72.40094318,23.32784129,14.96364506,24.63094656
ABHD5,62.87856759,62.18461702,42.79990627,39.96361029,72.5112559,32.9409149,36.50364596,305.9038895,45.14522841,37.270202,29.43526135,42.27956334,108.2592294,85.51079003,31.07959107,48.10861369,24.3727958,160.3476733,20.91145325,43.05606653
ACSM3,16.67459145,20.60276156,28.55981184,22.37620719,15.92140434,26.57111106,141.2194725,29.87160081,32.40856344,16.13130007,64.50549273,19.4008541,17.93519339,17.67975881,21.2418919,16.49207962,22.07819592,26.25922365,23.35575398,25.03972973
ADAM19,59.01350143,25.44391341,75.92887949,27.9261372,24.42580812,40.25628181,17.35817639,101.6320192,238.4446642,54.9048683,25.08670694,27.3222873,36.51258648,33.11254006,101.2328466,71.16534465,144.9819635,83.5209787,78.25572265,50.67043957
ADAMTS5,21.41203046,7.78094087,13.76146115,15.14422042,16.79854615,11.28362184,14.13214513,9.32392941,25.86657622,10.71696782,8.144641471,10.37868312,10.08104073,9.472767629,13.96944867,12.47631168,15.66398178,16.4108195,14.91773813,17.53468599
ADI1,175.2336386,280.8209024,101.8592764,66.98540878,91.49760617,65.15642518,228.9448609,70.23462831,429.7643981,154.0195244,506.4890763,277.9636174,48.6164936,79.64399844,167.6288389,95.08737092,112.1409261,121.6727995,283.591945,96.22119979
AGPAT5,60.87478447,34.47735961,59.89600371,42.97780169,37.83463227,61.08871209,138.7742909,62.64211864,29.54638318,103.1050946,225.8209591,118.0549601,50.09999641,42.497776,69.73067492,33.00680932,89.40214232,26.83427525,42.1446658,37.62545468
ALAS1,72.48116293,49.81667919,50.16653962,49.93391614,71.54162959,54.23151819,91.27615234,54.99599939,116.3976747,227.1153441,109.9144219,135.2532938,87.28358498,64.27306893,64.55514086,69.64803883,51.99389586,74.65606303,63.55001977,36.41484136
ALPL,20.88843275,16.18382052,20.80671187,19.6829952,17.36986688,19.43641224,12.22489089,13.35220537,10.61014851,16.52138343,11.66865251,22.73113938,16.65011393,16.25946631,23.76649011,16.42264683,31.64772986,176.0861151,20.90353578,32.38827584
ANK3,20.03764164,20.57222053,43.88988792,23.28151784,20.94517799,33.51073807,21.7143107,32.72533487,17.4845948,43.28046968,21.14351397,19.37374939,17.38314033,16.62370163,36.29423632,28.88122094,16.51013453,26.18605714,18.28253091,71.2294607
ANXA3,16.37089503,10.75834841,13.85315913,20.11809261,11.56022621,12.25311574,20.35884879,44.42098038,16.05938555,10.93511921,43.31532695,23.25972175,11.54270189,8.375525947,14.0431161,24.77957284,11.00668704,221.1816545,14.94848295,21.9470387
AOC2,18.72844432,24.89458903,21.76573172,22.60797111,22.78536769,16.96851796,23.61408741,24.21830845,22.55325487,21.00701081,10.88793556,21.09856905,20.52143482,18.40085168,18.54789364,18.2120567,24.4228892,64.04785504,23.51625091,23.39956011
APOBEC3A,201.2817119,214.1637925,37.09789964,35.09732435,48.43997346,22.59562829,16.08041967,112.7110827,121.9536509,25.00409233,30.12657566,65.70848719,263.1316113,37.61270769,13.56435949,30.41562962,15.73916248,462.7379985,16.35987172,19.93190597
APOBEC3G,73.85765913,128.7099391,77.58580926,123.7862552,162.7945508,148.213874,49.66234717,60.10888615,31.54247368,115.9710513,90.61017686,49.19774249,114.3120673,47.07850749,112.6783964,97.19119231,143.0002148,72.05457644,60.37382298,108.0505862
APOE,15.88414505,13.18975898,21.42623913,19.79474332,32.42902601,18.7958049,28.71268263,11.31623289,20.79974481,13.59420929,46.36463373,538.8582994,770.9806357,468.9857841,21.08660236,30.97087462,20.22094045,19.72990024,21.62795671,41.55509131
ARID4A,57.56405682,74.41107817,73.93563844,70.01164907,357.439316,91.26360696,43.11721097,94.85529853,202.3558236,74.53505164,87.16126144,38.90007583,62.11480645,77.44760865,70.07768572,88.47700703,88.78179444,131.7498766,33.69142284,32.55444706
ARNT2,13.19481679,12.86790715,13.88456719,14.6277663,12.63489844,12.27067936,18.56252432,14.98143848,8.278741684,7.741324362,15.99335892,21.75714977,16.37419888,9.575316709,10.10222634,19.93476041,9.173492373,15.61898998,19.14479479,146.934312
ASGR1,140.6002952,272.6300423,36.8322243,17.03981954,25.38788984,25.50630738,25.41433393,21.62674893,12.488611,8.158053736,28.06320383,53.40187101,81.90227162,96.54720173,13.57953452,58.38033963,15.04568781,26.22434895,14.23758942,21.38772575
ASGR2,142.2593104,51.10434118,31.08651798,19.56040718,25.79322893,21.3362284,25.97519797,16.72404033,12.89357751,12.38968859,31.62956787,16.99952709,30.6919869,66.22253818,14.18564083,60.04554326,15.22924711,26.82691992,18.65142354,13.9061464
ASRGL1,74.41184801,68.92805486,25.0296369,24.38269203,30.26759319,25.8688013,68.67495229,98.71850972,114.8737546,28.70637624,105.5980797,145.3143632,31.97068679,45.72237243,29.11637674,27.16482672,26.04405497,55.15984363,67.12242351,25.84074257
ATP2A1,14.15964269,11.77383169,17.03671199,19.76963557,12.2784131,17.74000641,19.51486665,12.23729981,11.38194017,15.60252047,10.26771977,17.18824817,14.15315218,13.16660461,20.0586516,15.50114982,17.039793,18.43615527,21.67697528,65.42703291
ATP2B1,88.35646159,109.4531558,68.62920333,52.51203328,302.7934343,76.49565348,50.90737014,63.11491981,97.14080659,81.75139744,81.95903185,25.32615385,40.32151962,63.08404678,123.2892594,101.9942212,71.14059348,194.1341892,29.31912777,23.98188567
BEX1,22.88234569,20.72225635,30.14888907,25.42560403,17.05441254,28.77196737,79.55138929,45.84157141,31.55427749,25.77631628,426.8837476,24.37833443,18.21061222,16.86005784,20.03982448,22.41229633,24.407666,57.47984179,31.49768002,18.35054589
BMX,16.51154051,16.44280958,13.5906409,16.44274957,10.7060699,12.19180263,14.96983944,31.58906682,17.97171612,9.550780287,15.94624809,21.59574956,14.97872715,13.81116863,12.96852836,16.64038921,17.93838896,76.41661524,19.75556539,28.43047716
C1QA,37.02531702,191.8128134,20.01536479,16.79735675,20.81582785,15.08335384,28.94467098,26.41830258,13.94383252,13.09544854,66.13687178,217.7480755,183.4545267,174.3966666,14.76883311,49.53825566,15.2137183,18.49192202,39.76216347,42.50932848
C1QB,32.67137278,132.2318013,22.53482389,18.78393912,19.97944495,14.09155468,23.70059645,9.389306711,20.56156613,18.31390553,68.51461143,205.1247813,760.9798947,415.5917569,14.14248512,50.60506888,16.17390602,22.05311091,34.81549057,22.47742164
CA4,20.27253025,24.56942294,21.25708898,20.40647402,23.15458511,21.46462211,12.65611421,33.0261369,30.35354792,16.82187414,14.84432826,35.90771464,23.7859348,24.44003766,19.01970869,21.98809017,15.64649604,155.6536834,15.13338662,33.57916104
CACNA2D3,93.22181405,40.96403246,22.5188412,19.84110691,20.09195691,13.16436291,11.71001508,8.649551151,15.24570132,15.91675651,20.80470299,27.82381992,14.99606335,16.45716959,10.8360074,46.40750813,11.42371438,15.53281947,8.620160171,20.49534201
CALB2,21.30928887,18.12887543,18.59129268,26.81090887,18.00552859,19.87490217,501.9890558,20.07381208,10.47431783,26.83272261,16.1464061,15.27130719,19.91848505,17.7729197,15.96472373,28.15091267,15.72169716,35.26255749,30.55816386,22.52732774
CALML4,69.76988417,98.79595346,41.21755074,32.30542805,31.63508288,27.80484312,20.56217589,42.86115454,13.28200346,25.32031258,27.94308598,34.41947919,52.95317224,61.12603224,25.99601202,41.91611761,20.00346751,35.78537502,41.0223297,25.34566941
CAMK4,13.61871375,14.23668613,96.27289609,22.49724397,20.32190321,102.3916375,12.40498279,12.89652259,14.63295863,57.99161959,8.447203235,20.05554396,10.56839706,9.461181918,22.83113204,14.92806774,20.42454687,27.89583702,18.2344761,11.72607436
CASP1,447.3547393,368.5228716,95.6656882,130.713996,197.4982858,137.9322676,38.81214512,153.0446643,155.7097021,180.3195319,115.8189521,31.96773757,227.5596945,128.4629018,120.6133413,197.8247827,105.0689198,261.4303162,76.88369234,14.66644723
CCR2,164.8844845,30.26527069,37.09747742,26.65849444,14.50738251,33.32338084,18.72485457,55.95017743,39.94294209,62.54041889,23.78619377,20.93589269,19.01126528,26.25299852,51.9703203,33.23382871,19.00474159,37.59234752,151.1572494,26.65772559
CCR3,19.68759621,14.3091728,20.64599527,19.72972584,12.74336115,18.54862461,18.58927077,208.7621736,764.795397,19.60767921,13.91652403,30.16886138,13.94413427,15.4108147,13.78972973,14.484536,14.09821024,191.3051261,16.01964826,25.82138171
CD14,1218.860842,463.3632383,79.32804724,52.59279623,25.5034078,23.98487955,34.1052756,34.16454843,12.67429257,8.768489236,64.76311513,358.8404586,1312.160328,544.1119381,12.33865012,125.5859986,13.03470303,507.3370401,23.81734124,23.95559717
CD160,17.36454503,18.28204557,26.362509,228.6333483,339.5480771,107.5091997,11.76558969,15.02812713,23.26493845,81.40938901,12.28939823,15.06127835,15.19920218,17.19124228,28.09286941,13.87699414,40.33863307,31.86099671,21.77602208,20.59503373
CD163,163.3935432,51.96713433,29.82903342,29.06719361,12.73782387,15.59216713,21.58545119,17.06059844,17.70782944,9.699400276,52.12490335,288.057151,323.4254145,326.2520053,14.88014821,62.39034323,16.19808895,32.61023753,21.01716777,18.97862073
CD19,26.01399832,20.27836633,29.56456171,21.85607593,22.86220116,22.80905766,37.47613836,13.25036125,19.92628772,13.82339962,32.28072885,48.44663646,30.03209343,30.37192664,351.2050872,17.86349351,609.4336482,32.72808579,46.45980047,17.45686494
CD1D,259.0274396,195.6537283,44.96635509,23.17765811,58.45514244,17.70077809,9.205693321,16.1154226,15.49035462,8.328022987,19.29834379,20.11579001,34.05154108,24.18475585,65.39589767,43.39328581,79.01917333,45.76226958,66.44712371,18.19694123
CD1E,24.63318601,25.27364261,19.32584328,17.78898014,16.89412918,14.55959089,24.64518164,24.47368941,13.07404473,12.00155287,14.45896959,20.77670613,22.47912363,79.39968852,12.26737803,92.71717121,15.33559914,20.6376571,12.60120001,32.36751777
CD207,17.82457166,20.78108778,17.79181553,14.29151449,12.53385202,15.82866592,18.32901676,17.30935805,9.852256876,14.96813293,12.20653211,24.59223817,11.73585459,15.36927499,16.02965862,68.26354301,15.53333696,29.96014983,20.17241697,22.42246003
CD209,26.15703426,24.71510312,21.51146378,25.06647389,20.19972167,19.51579738,26.99457317,11.9136607,19.62469863,17.99729632,17.36243017,139.454032,180.5670872,642.8425965,20.14325391,29.15665618,21.56254956,32.4160258,29.72742091,23.46686724
CD38,39.06925426,52.95135664,51.92997274,125.8897764,115.3197478,48.60534078,32.66918791,26.89102744,29.30041384,84.63123304,137.1233461,31.75590727,341.6290369,31.6031121,39.38034122,57.6072479,46.49312722,34.58489164,950.4930806,83.33182394
CD3D,33.2706942,23.30028159,494.4703693,61.59373792,56.33207797,989.4824596,13.40353639,15.83425914,27.1799675,1734.682633,26.45108604,9.849164833,19.44983925,16.65201198,18.91975563,22.40701778,18.3239829,53.17227136,31.49048723,36.93277181
CD3E,28.95306049,23.42789918,297.2120614,91.52059952,54.45066747,313.2516163,24.77985576,16.18721533,20.51554361,306.6140844,23.15110207,31.3083007,18.66376455,19.60410129,25.78064449,14.7189035,29.73323694,36.66548085,63.80930812,28.3558804
CD3G,20.03645029,17.36354073,292.0293503,47.09517542,52.72731285,510.882732,12.99498231,17.15376208,12.5597736,243.0701365,15.10575039,20.44379699,12.80079854,14.36849591,17.21058276,17.70971824,15.60712541,28.2170751,20.51743613,21.85780584
CD4,74.71613013,90.38242317,120.5657427,31.76919646,22.49857057,21.57350834,15.19939798,13.17788496,23.73918168,11.81339338,27.55502571,116.5693974,105.571924,152.7335159,15.62770324,36.8461118,19.19212466,30.59162918,18.98094741,35.20538514
CD40LG,21.31615184,23.73495307,111.2902917,32.18352396,9.46062923,27.33646483,22.83542235,11.09048525,14.26315148,47.08255527,30.54475315,16.3409779,13.37923277,13.92116058,14.01201873,14.19127964,15.79460802,22.2364027,22.23402357,45.88570131
CD79A,39.9746254,31.66153451,50.41894019,34.14135835,27.90374397,44.28348315,21.87083413,26.13806786,32.76710658,27.12536662,51.30205768,53.36758899,34.08679167,35.99041409,517.5152401,24.78062975,895.1168898,47.60436665,215.0423202,22.49512167
CD8A,31.29880096,17.30559764,36.46734199,229.3036515,120.3848475,1501.615502,30.60007243,18.26807565,24.91160991,75.74090796,24.00471412,23.92695816,18.0866491,18.98187466,21.07709964,28.04738504,23.00111779,67.59528421,30.56651269,21.24079235
CDC14B,24.9812427,15.03961235,38.47274641,39.46006237,26.28558395,32.80218,16.74022956,65.05475979,39.18723739,24.37040548,24.38993188,52.02326435,19.04031906,14.90420733,26.7089239,23.94902379,19.24430534,30.77478769,24.27532811,20.87910187
CDC42EP4,56.95588145,176.2484542,32.89870236,28.92054658,36.20271685,24.34291636,30.34282729,192.8707767,28.96534792,18.40212608,37.72680406,68.17939521,118.3100484,86.28357688,18.14435258,81.36766493,14.63394532,50.40495851,27.56864332,73.26641382
CDK2AP2,79.17889087,127.5647821,90.96733487,96.71705783,91.06704481,92.57625685,55.12886253,102.0826218,68.19894932,138.9557643,60.63995931,86.20174325,50.33727674,53.60228034,82.84374054,116.8573925,79.96578551,66.75074747,200.2386126,111.192351
CDKN1C,50.69993146,252.4298789,35.6694605,23.88454356,69.59857696,23.3895029,25.02656543,42.44485239,17.01544301,11.83437278,38.37157569,18.65952032,23.53831954,22.06692573,15.01240285,24.41862314,11.94415318,41.90888579,17.89645034,12.22791651
