"Majority protein IDs"	"Protein names"	"Gene names"	"Intensity q2_tcell_notact_004"	"Intensity q2_tcell_notact_007"	"Intensity q2_tcell_notact_008"	"Intensity q2_tcell_notact_009"	"Intensity q2_tcell_notact_010"	"Intensity q2_tcell_notact_011"	"Intensity q2_tcell_notact_014"	"Intensity q3_tcell_act12h_018"	"Intensity q3_tcell_act12h_019"	"Intensity q3_tcell_act12h_020"	"Intensity q3_tcell_act24h_023"	"Intensity q3_tcell_act48h_026"	"Intensity q3_tcell_act48h_027"	"Intensity q3_tcell_act72h_028"	"Intensity q3_tcell_act72h_029"	"Intensity q3_tcell_act72h_030"	"Intensity q3_tcell_act96h_032"	"Intensity q3_tcell_act96h_034"	Reverse	"Potential contaminant"
P61604;B8ZZL8;B8ZZ54	"10 kDa heat shock protein, mitochondrial"	HSPE1	30.1978	29.839	31.4663	30.1005	30.3717	30.2462	31.884	32.4976	32.4142	32.2516	32.8978	33.1799	33.1323	32.9932	32.8914	33.0152	32.7481	32.7625		
Q15029-2;Q15029;K7EJ81;K7EP67;K7EJ74;K7EIT3;K7EIV5	"116 kDa U5 small nuclear ribonucleoprotein component"	EFTUD2	31.1597	31.3571	31.5293	31.1225	31.467	31.499	31.1632	31.3466	31.2939	31.1456	31.6479	31.3265	31.4507	31.3465	31.4241	31.1603	31.0181	31.5609		
Q9BV57;Q9BV57-2;H7C382	"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"	ADI1	26.5464	25.1235	26.8521	23.5264	24.7573	25.8064	26.4855	25.8951	25.4919	25.4571	25.5965	26.4042	27.4825	27.8167	27.623	27.8385	27.5484	27.1843		
P31946;Q4VY19;Q4VY20	"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed"	YWHAB	33.4741	33.75	33.5013	34.2054	33.7088	33.5047	33.6708	33.1363	33.3182	33.0741	32.5222	32.1447	32.2184	32.3451	32.2522	32.4059	32.4092	32.292		
P62258;P62258-2;B4DJF2;I3L3T1;K7EIT4;K7EM20;I3L0W5	"14-3-3 protein epsilon"	YWHAE	31.7617	31.7581	32.2866	31.8829	31.6024	31.7991	31.7341	32.1526	31.4373	31.539	32.0551	32.3995	32.3281	32.7908	32.7122	32.8217	32.6984	32.8178		
Q04917;A2IDB2;F8WEB6;A2IDB1	"14-3-3 protein eta"	YWHAH	29.9227	29.7209	29.8685	29.4865	29.8862	29.7025	29.6265	29.4969	29.3793	29.3929	29.6534	30.6634	30.6325	31.5266	31.1086	31.0689	31.5184	31.4166		
P61981	"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed"	YWHAG	31.7868	31.1679	31.1349	31.9415	31.1104	30.9254	32.0009	30.6724	30.603	30.5084	30.9427	31.1654	31.0603	31.0043	30.9668	31.3686	31.3067	31.0437		
P31947;P31947-2	"14-3-3 protein sigma"	SFN	28.1715	26.4187	28.8523	27.146	27.8118	27.9595	30.5956	30.2768	30.2828	30.3486	NA	30.0638	29.5234	29.5258	29.2153	29.5737	30.1178	29.8214		
P27348;E9PG15	"14-3-3 protein theta"	YWHAQ	31.6472	31.8187	31.5916	32.015	31.5351	31.4221	31.1371	31.4565	31.1676	31.1886	32.1456	31.8585	31.7117	31.9258	31.8128	31.8468	32.1278	31.8133		
P63104;B0AZS6;E7EX24;B7Z2E6;H0YB80	"14-3-3 protein zeta/delta"	YWHAZ	34.6546	34.3966	34.5222	34.5129	34.6472	34.5256	34.372	34.2511	34.1453	34.0815	33.9705	33.5753	33.3316	33.5864	33.3805	33.4557	33.8959	33.6965		
Q04446;E9PGM4	"1,4-alpha-glucan-branching enzyme"	GBE1	27.8476	28.2742	27.837	27.5396	27.5307	27.9401	27.3726	28.091	28.4489	28.1174	27.3939	27.3535	27.1502	28.0535	27.6655	27.7386	27.254	28.3095		
Q9NRX4;Q9NRX4-2	"14 kDa phosphohistidine phosphatase"	PHPT1	27.2052	26.9378	28.2867	28.7805	28.1232	27.9283	29.3657	27.4238	27.9218	27.5171	28.0818	26.6446	26.3522	27.4217	27.5566	27.0928	27.1717	26.9714		
O60613;A8MZD0	"15 kDa selenoprotein"	SEP15	25.8567	26.3615	26.687	26.6679	27.5095	27.5589	26.8261	26.39	25.7121	26.4262	26.6433	25.863	26.0828	24.7522	26.0155	25.7509	26.1026	26.4299		
Q9C0C2;Q9C0C2-2;E9PKK0;E9PKE7	"182 kDa tankyrase-1-binding protein"	TNKS1BP1	25.7213	26.2284	23.9381	26.2715	25.3418	25.2587	27.0573	24.2238	24.9853	24.9587	27.0661	24.2113	25.691	24.5653	NA	24.3026	NA	24.8515		
Q8WTS1;H7BZY9;F8W7B5;C9JBM3	"1-acylglycerol-3-phosphate O-acyltransferase ABHD5"	ABHD5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.8845	22.3705	NA	NA	NA	NA	NA		
Q9HBM8;Q99943	"1-acyl-sn-glycerol-3-phosphate acyltransferase alpha"	AGPAT1	23.503	26.1003	24.7873	23.76	26.1357	26.3584	NA	25.0848	25.0901	23.2904	23.4728	24.3907	23.0733	23.5358	23.6921	23.9365	23.4854	22.6046		
O15120;O15120-2	"1-acyl-sn-glycerol-3-phosphate acyltransferase beta"	AGPAT2	NA	NA	NA	24.6016	24.1568	23.3058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
Q9NUQ2;E5RH21	"1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon"	AGPAT5	28.2288	26.6214	26.7871	26.281	25.8576	25.7499	26.7659	26.3996	26.2682	26.3672	26.5154	26.1549	26.5006	25.5853	25.5536	25.4482	25.3689	25.2221		
Q9NRZ7;Q9NRZ7-2;Q9NRZ7-3;C9JL26;C9J184;C9JK35;C9JQX8	"1-acyl-sn-glycerol-3-phosphate acyltransferase gamma"	AGPAT3	24.5034	24.4062	26.4429	25.3155	24.8364	24.7974	25.5726	25.1261	25.5281	25.4555	25.4062	24.6333	25.3971	25.597	25.4696	25.5823	25.2203	25.8551		
Q9Y2I7;E9PDH4;Q9Y2I7-4;Q9Y2I7-2;Q9Y2I7-3;F8WEZ0;C9JL08	"1-phosphatidylinositol 3-phosphate 5-kinase"	PIKFYVE	26.5293	25.1884	24.3528	26.6054	22.1667	24.808	NA	26.4514	26.6886	25.624	26.2383	NA	25.9666	25.9904	22.1672	25.0232	26.3351	25.9535		
