speciesType	tissueType	UberonOntologyID	cancerType	cellType	cellName	CellOntologyID	cellMarker	geneSymbol	geneID	proteinName	proteinID	markerResource	PMID	Company
Human	Lung	UBERON_0002048	Normal	Normal cell	Type II pneumocyte	CL_0002063	ABCA3, SLC34A2	ABCA3, SLC34A2	21, 10568	ABCA3, NPT2B	Q99758, O95436	Single-cell sequencing	27942595	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Airway secretory cell	CL_1000272	AQP3, MUC5AC, MUC5B, PIGR, SCGB1A1	AQP3, MUC5AC, MUC5B, PIGR, SCGB1A1	360, 4586, 727897, 5284, 7356	AQP3, MUC5A, MUC5B, PIGR, UTER	Q92482, P98088, Q9HC84, P01833, P11684	Single-cell sequencing	27942595	NA
Human	Pancreas	UBERON_0001264	Normal	Normal cell	Alpha cell	CL_0000171	ARX, CLIM1, CRYBA2, FEV, GBA, HMGB3, ILTMP, IRX2, KRP1, LOXL4, MAFB, PGE2-R, PGR, PLCE1, RFX6, RGP4, SMARCA1	UBA2, LDB2, CRYBA2, FEV, GBA, HMGB3, TM4SF4, IRX2, KLHL41, LOXL4, MAFB, PTGER3, PGR, PLCE1, RFX6, RGPD4, SMARCA1	10054, 9079, 1412, 54738, 2629, 3149, 7104, 153572, 10324, 84171, 9935, 5733, 5241, 51196, 222546, 285190, 6594	ARX, PDLI1, CRBA2, FEV, GLCM, HMGB3, T4S4, IRX2, KLH41, LOXL4, MAFB, PE2R3, PRGR, PLCE1, RFX6, RGS4, SMCA1	Q96QS3, O00151, P53672, Q99581, P04062, O15347, P48230, Q9BZI1, O60662, Q96JB6, Q9Y5Q3, P43115, P06401, Q9P212, Q8HWS3, P49798, P28370	Single-cell sequencing	27693023	NA
Human	Pancreas	UBERON_0001264	Normal	Normal cell	Beta cell	CL_0000169	BMP-5, CDKN1C, CRTR1, DLK1, NPTX2, PACAP, PDX1, PFKFB2, PIR, SIX2, SIX3, SMAD9, SYT13, TGFBR3	BMP5, CDKN1C, TFCP2L1, DLK1, NPTX2, MZB1, PDX1, PFKFB2, PIR, SIX2, SIX3, SMAD9, SYT13, TGFBR3	653, 1028, 29842, 8788, 4885, 51237, 3651, 5208, 8544, 10736, 6496, 4093, 57586, 7049	BMP5, CDN1C, TF2L1, DLK1, NPTX2, PACA, ODPX, F262, PIR, SIX2, SIX3, SMAD9, SYT13, TGBR3	P22003, P49918, Q9NZI6, P80370, P47972, P18509, O00330, O60825, O00625, Q9NPC8, O95343, O15198, Q7L8C5, Q03167	Single-cell sequencing	27693023	NA
Human	Pancreas	UBERON_0001264	Normal	Normal cell	Delta cell	CL_0000173	CHE1, ESE3B, ETV1, GABRG2, HER4, ISL1, LCORL, LEDGF, LEPR, NEC1, PDLIM4, POU3F1, PRBP, PRG4, RGS2, SFRP3, SHARP1	AATF, EHF, ETV1, GABRG2, ERBB4, ISL1, LCORL, PSIP1, LEPROT, PCSK1, PDLIM4, POU3F1, RBP4, PRG4, RGS2, FRZB, BHLHE41	26574, 26298, 2115, 2566, 2066, 3670, 254251, 11168, 54741, 5122, 8572, 5453, 5950, 10216, 5997, 2487, 79365	AATF, EHF, ETV1, GBRG2, ERBB4, ISL1, LCORL, PSIP1, LEPR, NEC1, PDLI4, PO3F1, RET4, PLPR2, RGS2, SFRP3, BHE41	Q9NY61, Q9NZC4, P50549, P18507, Q15303, P61371, Q8N3X6, O75475, P48357, P29120, P50479, Q03052, P02753, Q96GM1, P41220, Q92765, Q9C0J9	Single-cell sequencing	27693023	NA
Human	Pancreas	UBERON_0001264	Normal	Normal cell	Pancreatic polypeptide cell	CL_0002275	AQP3, ARHGAP3, ARX, BHLHB26, BHLHB27, CARTPT, EGR3, ENTPD2, ETV1, MEIS1, MEIS2, PAX6, PTGFR, RBTN3, SERTM1, SLITRK6, THSD7A, ZNF506	AQP3, CHN2, UBA2, ID2, ID4, CARTPT, EGR3, ENTPD2, ETV1, MEIS1, MEIS2, PAX6, PTGFR, LMO3, SERTM1, SLITRK6, THSD7A, ZNF506	360, 1124, 10054, 3398, 3400, 9607, 1960, 954, 2115, 4211, 4212, 5080, 5737, 55885, 400120, 84189, 221981, 440515	AQP3, CHIO, ARX, ID2, ID4, CART, EGR3, ENTP2, ETV1, MEIS1, MEIS2, PAX6, PF2R, LMO3, SRTM1, SLIK6, THS7A, ZN506	Q92482, P52757, Q96QS3, Q02363, P47928, Q16568, Q06889, Q9Y5L3, P50549, O00470, O14770, P26367, P43088, Q8TAP4, A2A2V5, Q9H5Y7, Q9UPZ6, Q5JVG8	Single-cell sequencing	27693023	NA
Human	Brain	UBERON_0000955	Normal	Normal cell	Astrocyte	CL_0000127	GFAP	GFAP	2670	GFAP	P14136	Single-cell sequencing	27587997	NA
Human	Brain	UBERON_0000955	Normal	Normal cell	Neuron	CL_0000540	ENO2, SYP	ENO2, SYP	2026, 6855	ENOG, SYPH	P09104, P08247	Single-cell sequencing	27587997	NA
Human	Undefined	NA	Normal	Normal cell	Neuronal progenitor cell	NA	MAP2, PAX6, SOX2	MAP2, PAX6, SOX2	4133, 5080, 6657	MAP2, PAX6, SOX2	P50579, P26367, P48431	Single-cell sequencing	27534536	NA
Human	Undefined	NA	Normal	Normal cell	Endothelial cell	CL_0000115	CD31, CD34, PECAM1	PECAM1, CD34, PECAM1	5175, 947, 5175	PECA1, CD34, PECA1	P16284, P28906, P16284	Single-cell sequencing	27534536	NA
