 	Basophils	CD4+ Central Memory	CD4+ Effector Memory	CD8+ Central Memory	CD8+ Effector Memory	CD8+ Effector Memory RA	Colony Forming Unit-Granulocyte	Colony Forming Unit-Megakaryocytic	Colony Forming Unit-Monocyte	Common myeloid progenitor	Early B-cell	Eosinophill	Erythroid_CD34- CD71- GlyA+	Erythroid_CD34- CD71+ GlyA-	Erythroid_CD34- CD71+ GlyA+	Erythroid_CD34- CD71lo GlyA+	Erythroid_CD34+ CD71+ GlyA-	Granulocyte (Neutrophil)	Granulocyte (Neutrophilic Metamyelocyte)	Granulocyte/monocyte progenitor	Hematopoietic stem cell_CD133+ CD34dim	Hematopoietic stem cell_CD38- CD34+	Mature B-cell class able to switch	Mature B-cell class switched	Mature B-cells	Mature NK cell_CD56- CD16- CD3-	Mature NK cell_CD56- CD16+ CD3-	Mature NK cell_CD56+ CD16+ CD3-	Megakaryocyte	Megakaryocyte/ erythroid progenitor	Monocyte	Myeloid Dendritic Cell	Naive B-cells	Naive CD4+ T-cell	Naive CD8+ T-cell	NKT	Plasmacytoid Dendritic Cell	Pro B-cell
HSPA6	9.73856624	8.597487549	8.437687047	8.671321592	8.850702369	9.311792523	8.828259298	8.783055495	11.63018191	8.509694246	8.73614361	9.608898783	9.795042225	8.885151006	9.272232898	9.455349891	8.65347501	11.96061608	11.36979646	10.20572294	8.44782441	8.807797306	10.63201646	10.05013551	9.907511795	8.874926925	13.31215009	10.14378054	9.61165464	8.247103707	12.53212263	10.74167769	8.88975166	8.632381551	8.233923033	11.06769676	8.528592929	8.61363599
CCL5	13.23105085	11.56982722	13.21030491	14.78523996	16.58284397	15.65512555	10.25851795	13.44898296	12.82054371	12.50123552	13.46013657	12.55035352	11.20809293	11.94251928	12.11697301	13.00773169	11.32849911	14.54657864	12.23469534	13.84490926	10.98505862	7.589335703	8.461345812	8.255994721	7.812696125	13.64412529	13.9861535	15.53945654	14.18041979	12.35101109	11.75445375	13.67254423	8.0798782	11.05861747	10.54990284	15.2573245	15.25639317	13.07235758
TRADD	8.092763809	11.42768328	12.01943383	10.63651708	10.31951764	9.912814059	9.481318783	7.995541654	8.315502516	8.723748008	7.909189956	8.25090723	8.870544538	8.383155129	8.646736385	8.751392454	8.370227419	8.966192077	9.688913921	8.40963324	8.546952992	8.538270679	9.026485891	9.709699742	9.344013911	8.208283455	8.064181124	8.062993293	8.031177292	8.039927398	8.621898315	8.156047318	8.974892333	9.054762088	9.187558634	8.269637326	7.812510051	7.988152564
DSP	10.91634079	9.96224441	9.627913316	9.465908411	8.790003411	9.681578928	9.613606185	9.968671614	8.573772998	8.48420089	11.56553528	10.4881984	12.53211863	10.49001722	12.06637826	12.06495947	8.521574046	8.70340271	8.951962956	8.500278594	8.695813791	8.259684718	10.07048074	9.201005574	11.97276796	10.23148004	8.427290047	8.529814551	10.04996873	9.228536052	8.549791572	8.365236749	14.23663152	10.47831448	9.838921327	8.060619159	9.408225712	10.68809858
WARS	10.79914451	10.26001368	9.792555494	9.26566661	10.42123313	11.05059692	11.56055299	10.12408366	14.34288901	12.341598	9.207372883	11.3197181	11.22772918	11.96024853	9.632312246	10.07377411	10.6400529	14.42142467	13.72883445	12.0995495	10.18607772	10.28864774	9.201961238	11.61255803	10.32129868	10.35105299	15.45140777	9.758798095	9.587665219	10.22511603	14.75744564	12.41394408	9.129824173	9.259738942	9.793261072	15.09156713	9.553920208	10.73259311
PTPRF	9.405304711	8.945017165	8.860731645	9.227490577	9.049188244	9.207934244	9.490047995	9.808510579	9.318779465	9.293862291	10.20645593	9.555450595	15.41901363	9.590824153	15.53256025	14.65605566	9.648609199	9.254068262	9.305841806	10.16336378	9.449341416	10.19338425	8.941046431	9.041982726	9.095766604	8.98904226	8.686524824	8.786059271	9.871293075	9.549240485	9.053356342	9.112895451	8.719463465	9.026256463	9.154419225	9.571517733	9.4108117	10.10992085
S100A11	11.68658124	12.80699076	13.45844811	11.7101564	13.15560041	12.74476719	13.0022594	11.22868639	15.63232316	13.53265751	11.36276837	12.59388524	10.75879869	13.83340396	9.898481709	10.64360479	11.07213366	15.33794534	15.44545117	13.15456266	12.16595526	11.42741908	9.996056074	9.83647935	9.346858865	11.41670803	14.10696243	11.07995439	12.02866765	10.73323186	15.1783579	13.5860825	9.100055085	10.18260153	10.75254748	13.77464089	12.60930098	12.77939679
SPARC	10.46931641	9.129041163	9.169516505	9.706965622	9.718442884	11.53824506	12.44173291	15.98077527	13.79726608	10.28418357	10.93168481	11.30648451	14.31822663	14.10869895	11.76504982	13.82014636	14.2382468	13.10284777	14.2129412	13.80450038	13.04598528	14.16086736	8.687042478	9.005575466	9.79926018	8.699781975	8.281588875	8.307501139	17.98711671	12.74589374	13.5612694	9.628338364	9.259335892	9.836203492	9.563853437	9.073837059	10.19701497	12.16356224
GRN	8.627319724	8.091034122	7.846687097	7.899985653	7.983192167	8.096680773	8.415033561	8.119111605	11.62334537	8.33891884	8.466437216	9.218940386	8.163675672	8.973328807	8.427198114	8.143644405	8.067638437	9.72864974	11.08836224	9.0758049	8.03903404	8.039081334	8.560148873	8.473576586	7.929150288	8.027452602	8.503727746	8.009779782	8.799700584	8.079582186	11.47119781	9.761184304	7.898154522	7.897169323	7.907072575	8.545415664	9.78191953	8.729857972
NPC2	15.49510651	13.76314387	13.41037815	13.55730129	12.8699983	14.65300606	15.55932747	15.44712018	17.5812372	14.90869325	13.79330087	17.057182	13.93411559	15.65917865	12.63826742	12.79742456	14.72790585	17.57214722	17.21036277	16.31745375	15.60212107	16.02426206	15.37044066	14.84034003	15.03905199	12.37248837	17.13907554	12.65572811	14.94970129	14.59988137	18.10118946	16.81874943	15.61821052	13.26994834	13.72265945	15.73598228	18.31577998	14.50602159
