"","B_CELL_NAIVE","CD4_NAIVE","CD4_STIM","CD8_NAIVE","CD8_STIM","M2","MONOCYTES","NK","TFH","TH1","TH17","TH2","THSTAR","TREG_MEM","TREG_NAIVE"
"IL7R",1.92639199635519,2322.46900347029,3886.6272736198,1786.7753735874,2966.36278571324,1.73260096192696,1.52787594060138,9.58278821696257,1877.72218697202,2182.56645763846,2221.85478348471,1851.45504811615,3141.19212989615,348.059879067452,908.041062224577
"CD28",0.183472788769047,1278.48487510655,709.234903592451,645.533035640279,586.622424530422,0.811576451317314,0.750415169087014,1.57127967301422,1385.73124114293,974.47282760226,1461.24297389913,1280.1547539156,1253.2752601626,1389.76377861375,1196.06129467145
"RPS4Y1",264.953645306089,475.824548969292,262.575627064484,498.060411319334,329.807876287915,156.119912114026,167.754749034282,197.032059941072,374.183573121293,381.058026473052,402.535567380423,408.346248836449,392.205535440788,311.852989827341,372.187760167559
"CYBB",584.736655570783,7.91578312579272,2.6697259651441,6.11706139099798,2.97371811322065,2391.06774583305,2140.76263462915,7.12831587775736,5.15370586818402,0.226318364589975,0.143142557163477,0.342859933667804,0.185990817136465,6.36264106760642,5.96469352450159
"DDX3Y",435.541664668736,383.033519394931,355.746716152608,369.479830869264,362.643008032225,182.696599684564,249.494017583556,226.828565222518,288.276454176373,342.576648609145,344.873827813009,430.413064009564,417.632753713902,228.099025932207,356.101463169304
"FCGR3A",0.508225532044085,2.92275551734144,0.436915738188229,4.01154159599798,0.786252429928969,5561.81272159171,23.4798645531391,1925.38103989668,3.26261878010367,2.27575302122694,0.0742855222468548,0.137865906433076,0.25442354507405,3.14868176999416,3.27283664691281
"LYN",553.008212650896,4.24183751352556,2.58023366370724,3.62243737325577,2.30559318164853,2513.5511719181,659.024251228896,278.412408272848,3.08886829197251,2.16417663049319,0.279740632209131,0.296754758458886,1.74284615054465,3.54769231420673,3.30479995569044
"FCER1G",0.772600232326387,8.55454356089379,1.68624477927725,29.7898974767547,5.62953174837328,2768.659211086,1474.95307241581,815.558649414505,5.52809191280263,0.939023731115654,0.695411789193077,0.80192017441251,0.509141104419769,11.024607586712,56.7949720634202
"KLRB1",0.574142173163462,24.5705778693179,5.58214170737673,10.715778878413,2.27573568516033,4.87439306805655,0.868428535028057,1785.78490450734,689.525211849048,813.662630668404,1326.35071892214,400.258898150327,1990.08653087481,283.196752671067,14.1957993862681
"LYZ",13.1247536001958,89.1565986637845,5.89282457644562,74.7708063551702,6.08010456181097,2340.70781727952,40677.6729776717,40.8592179318129,80.5560875190085,4.62200441253995,10.671019141558,13.3555270939611,6.08172496893692,100.165316963296,82.0813096033888
"IL8",1.70019936226798,9.34747666581748,662.048279787444,8.83857696610985,91.3906036358206,247.292385554694,4488.87338270868,3.64589676854566,9.34188816702375,0.273036263953077,0.256724497301404,0.477239402765163,0.310364865959808,9.0227430422358,11.128544031677
"ICOS",0.207119476928377,367.062965748913,3497.72259408725,148.660632019154,1172.70115523206,0.990014810096429,0.544286997989179,4.8169523642161,643.071339528308,395.893319691942,586.39786117225,918.416580846067,341.830854208029,622.751951937423,370.701691423894
"CD40LG",0.56886756540167,286.194448864117,6648.35189882078,2.66569991293268,114.352374038469,0.431254074819162,0.645319094511905,1.78680415761411,345.324093509058,277.097054437779,379.911113117327,381.799089202385,299.587305475394,64.4082786507875,109.451844998369
