"","Bmem_A","Bmem_S","Bnav_A","Bnav_S","Bplasma_S","BSph_S","ESph_S","mDC_A","mDC_S","MOcl_A","MOcl_S","MOim_S","MOnc_S","mTregs_A","mTregs_S","NKbri_A","NKbri_S","NKdim_A","NKdim_S","NTph_S","nTregs_A","nTregs_S","pDC_A","pDC_S","T4cm_A","T4cm_S","T4em_A","T4em_S","T4emra_A","T4emra_S","T4nav_A","T4nav_S","T8cm_A","T8cm_S","T8em_A","T8em_S","T8emra_A","T8emra_S","T8nav_A","T8nav_S","Th1_S","Th17_S","Th2_S"
"A1BG",2267,58,469.25,410,664.25,96706,123060.25,62913,139329.5,137735,16251.5,123721,77606.5,112663.333333333,49579.75,83759,311351.5,72844.3333333333,198137,56136.75,17294.3333333333,122790,166325.25,42350.5,10015.25,14120,20764.5,15699.5,27225.75,552035.75,10972.5,13409.25,12636.5,21888.25,2921,13250.5,3679,74913.5,2333,9551.75,28278.75,41737.25,54802.5
"A2M",108488.25,40236,210815.75,22798.75,1340476.75,357588.5,448107,298703,634050,572858.333333333,213334,743948,462573.25,372948,181988.75,27423.3333333333,29519,13168.3333333333,32007.25,70669.5,127177.333333333,423428.25,557760.75,194744,123818.75,49835.5,185264.25,55357.5,146630.75,1276455.75,115227.25,67737.75,48509.5,132280.75,47307.25,74418.5,27239,344463.25,35264,54797,119334.75,204077.5,212137.25
"AAAS",64303,32940,88262.5,22557,6226.75,36620.75,15475.75,41186.25,80938.75,20989.6666666667,81175.5,114275.25,141440.5,5746.33333333333,76884,65584.3333333333,73340,87546.6666666667,51809,8276.25,97626.3333333333,31923,22723,88953.75,133087.5,63237.75,169050.5,64065.75,121718,23987.75,97897.75,54142,127979.25,68426,135659.5,65503.25,82090,74062.5,107029.25,63004,51314.25,63000,47963.25
"AACS",41541,1837,65341,1230.75,1455.5,2435.75,6295.5,7721,3721.5,4542.66666666667,22023.75,17020.5,3097.25,0,438.75,118350.333333333,17965.5,56850,3379.25,21090.75,25386.3333333333,2694,11404.5,41792,28114.5,2320.75,47950,1928.75,15742.5,745,9896.25,1019.75,38607,1466,16544.5,5304.75,7606.5,3327.75,14815,2446.5,3018,627.75,1643.25
"AAED1",1527.75,698.25,2487.75,223.75,0,0,0,11050,0,0,1451.75,0,0,0,0,0,1952.25,965.666666666667,529.25,0,0,909.25,1695,0,4593.5,0,3677.25,0,0,192,0,93.5,0,106.25,0,0,0,0,0,0,0,0,164.25
"AAGAB",12690.5,6634.25,20973,1771.5,403,3528.25,1243.25,5754.5,14909.75,317.333333333333,22783.75,50484.25,31586,1536,9227.5,15708,8811.5,10573.6666666667,8340.25,0,16668.3333333333,1962,8845.25,17033,31412.75,5382.75,22872.5,6705.5,15231.25,4486,22731.25,1826.25,24487.25,4380.5,20234.25,7950,6220,11726.75,16939,7245.75,4394.25,4469,8606.5
"AAK1",1511,206.25,5859,578.25,10508.75,47117,38187.25,36608.5,26372,56920.3333333333,39899,76344.5,44379.25,32453.6666666667,84425.5,53733.6666666667,51189.5,36253.6666666667,62812.5,73743.5,125509,74544.5,1614.25,4556.75,112006.75,122292.5,127964.5,109723.25,80013.75,69865.5,90004.75,112597,85764,89124,71552.75,100355.75,32891.5,75658,87429.5,98316,78491.75,120281,102846.75
"AAMDC",72606,37190.5,65984.5,28133,75691.75,167256,44067.5,58110.25,105538.5,117940.333333333,172126.5,159308.5,9094.75,17051.6666666667,11352.5,19066.6666666667,36245.75,24657.6666666667,24117.25,434120.25,78369.6666666667,36719.5,104391,140370.25,44798,19534.75,70038.75,20679.75,68719.75,55382.25,19822.5,42607.75,34556.5,60011.75,23814.75,24080.25,13032.75,15588.25,16661.25,14274.75,45121.5,26216,82810.5
"AAMP",62575.5,30147.5,107960.25,16943.25,30313,13557.25,5966,61796,59835.25,64468.3333333333,62227.5,156455.5,130699,4962,14210.75,36497.6666666667,28594.75,43057.6666666667,23533.75,265337.75,62361.3333333333,23204.5,66248.75,29544.25,88539.75,21520.25,115803.25,21981.75,103631,19083,44602.75,21191.25,74925.75,21209.5,62789.25,26159.75,48605,29681.25,49021.25,17566.25,17171.25,14719.5,38459.75
"AAR2",15139.75,5351,28619,1653,4199,4275.25,0,27081.5,26364,25592,23501.25,39282.75,27224.25,3533.66666666667,9078.25,21534.3333333333,11135.5,24285.6666666667,8308.5,0,26413.3333333333,8147,36142.5,18587.25,23008.75,10890,52492,8851.75,33125.5,6590.5,19168.75,7475,26424.75,8121.75,17856.75,7995.25,15537.75,6045.25,18037,9846.75,7084.25,10977.5,8455
