#Source	"The Drug Repurposing Hub, Broad Institute"				
#URL	http://www.broadinstitute.org/repurposing				
#File_date	9/7/2018				
#Table_name	drug information				
#API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
#Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
#Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
#Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
#Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
"[sar9,met(o2)11]-substance-p"	Preclinical	tachykinin antagonist	TACR1		
A-1070722	Preclinical	glycogen synthase kinase inhibitor	GSK3A|GSK3B		
A-1120	Preclinical	retinoid receptor ligand	RBP4		
A-317491	Preclinical	purinergic receptor antagonist	P2RX3		
A-33903	Phase 2				
A-366	Preclinical	histone lysine methyltransferase inhibitor	EHMT1|EHMT2		
A-412997	Preclinical	dopamine receptor agonist	DRD4		
A-438079	Preclinical	purinergic receptor antagonist	P2RX7		
A-582941	Preclinical	nicotinic receptor agonist	CHRNA7		
A-61603	Preclinical	adrenergic receptor agonist	ADRA1A|ADRA1B|ADRA1D		
A-674563	Preclinical	AKT inhibitor	AKT1|PKIA|PRKACA		
A-7	Preclinical	calmodulin antagonist			
A-769662	Preclinical	AMPK activator			
A-784168	Preclinical	transient receptor potential channel antagonist	TRPV1		
A-803467	Preclinical	sodium channel blocker	SCN10A		
A-804598	Preclinical	purinergic receptor antagonist	P2RX7		
A-839977	Preclinical	purinergic receptor antagonist	P2RX7		
A-867744	Preclinical	acetylcholine receptor allosteric modulator	CHRNA3|CHRNA4|CHRNA7		
A-887826	Preclinical	sodium channel blocker	SCN10A		
A-922500	Preclinical	diacylglycerol O acyltransferase inhibitor	DGAT1		
A-939572	Preclinical	stearoyl-CoA desaturase inhibitor	SCD		
A-967079	Preclinical	transient receptor potential channel antagonist	TRPA1		
A-987306	Preclinical	histamine receptor antagonist	ADORA1|AVPR1A|CCR1|CHRM1|CHRM2|CHRM3|CHRM4|DRD3|HTR1A|HTR1B|HTR2A|HTR2B|HTR3A|TACR2		
AA-29504	Preclinical	GABA receptor positive allosteric modulator	GABRA1|GABRA4|GABRB3		
abacavir	Launched	nucleoside reverse transcriptase inhibitor		infectious disease	human immunodeficiency virus (HIV-1)
abafungin	Phase 3	sterol methyltransferase inhibitor			
abamectin	Launched	benzodiazepine receptor agonist	GABBR1|GABBR2	infectious disease	gastrointestinal parasites
abametapir	Phase 3	metalloproteinase inhibitor	MMP9		
ABC-294640	Phase 1/Phase 2	sphingosine kinase inhibitor	SPHK2		
abemaciclib	Launched	CDK inhibitor	CDK4|CDK6	oncology	breast cancer
abiraterone	Launched	androgen biosynthesis inhibitor	CYP11B1|CYP17A1	oncology	prostate cancer
abiraterone-acetate	Launched	androgen biosynthesis inhibitor	CYP17A1	oncology	prostate cancer
ABT-202	Phase 1	acetylcholine receptor agonist			
ABT-239	Phase 1	histamine receptor antagonist	HRH1|HRH2|HRH3		
ABT-491	Phase 1	platelet activating factor receptor antagonist	PTAFR		
ABT-639	Phase 2	calcium channel blocker	CACNA1G|CACNA1H|CACNA1I		
ABT-702	Preclinical	adenosine kinase inhibitor	ADK		
ABT-724	Phase 2	dopamine receptor agonist	DRD4		
ABT-737	Phase 1/Phase 2	BCL inhibitor	BCL2|BCL2L1|BCL2L2		
ABT-751	Phase 2	tubulin polymerization inhibitor	TUBB		
AC-186	Preclinical	estrogen receptor agonist	ESR2		
AC-261066	Preclinical	retinoid receptor agonist	RARB		
AC-264613	Preclinical	PAR agonist	F2RL1		
AC-55541	Preclinical	PARP inhibitor	PARP2		
AC-55649	Preclinical	retinoid receptor agonist	RARA|RARB		
AC-710	Preclinical	PDGFR tyrosine kinase receptor inhibitor	CSF1R|FLT3|KIT|PDGFRA|PDGFRB		
AC-7954-(+/-)	Preclinical	urotensin receptor agonist	UTS2R		
acadesine	Phase 3	AMPK activator			
acalabrutinib	Phase 3	Bruton's tyrosine kinase (BTK) inhibitor	BTK		
acalisib	Phase 1	PI3K inhibitor	PIK3CB|PIK3CD		
acamprosate	Launched	glutamate receptor antagonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|GRM5	neurology/psychiatry	abstinence from alcohol
acarbose	Launched	glucosidase inhibitor	AMY2A|GAA|MGAM|SI	endocrinology	diabetes mellitus
ACDPP	Preclinical	glutamate receptor antagonist	GRM5		
acebutolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2	cardiology	hypertension|ventricular arrhythmias
acecainide	Phase 3	polarization inhibitor	SCN5A		
aceclidine	Launched	acetylcholine receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5	ophthalmology	glaucoma
