"drug","target","moa"
"CIL55","","screening hit"
"BRD4132","","screening hit"
"BRD6340","","screening hit"
"BRD9876","","screening hit"
"betulinic acid","","natural product; inhibitor of specificity protein 1 transcription factor in cells"
"gossypol","BCL2;BCL2L1;LDHA;LDHB;LDHC","inhibitor of lactate dehydrogenase; inhibitor of BCL2 family members"
"chlorambucil","","DNA alkylator"
"fluorouracil","TYMS","pyrimidine analog; inhibitor of thymidylate synthase"
"cimetidine","HRH2","inhibitor of histidine receptor H2"
"azacitidine","DNMT1","inhibitor of DNA methyltransferase"
"trifluoperazine","DRD2","antagonist of dopamine receptor D2"
"paclitaxel","","inhibitor of microtubule assembly"
"tamoxifen","ESR1;ESR2","modulator of estrogen receptors"
"carboplatin","","inducer of DNA damage"
"teniposide","TOP2A;TOP2B","inhibitor of topoisomerase II"
"sildenafil","PDE5A","inhibitor of phosphodiesterase 5A"
"simvastatin","HMGCR","inhibitor of HMG-CoA reductase"
"parbendazole","","inhibitor of microtubule assembly"
"procarbazine","","inducer of DNA damage"
"curcumin","","natural product; modulator of ROS; modulator of NF-kappa-B signaling"
"ciclopirox","RRM1","substituted pyridone antimycotic; inhibitor of the iron-dependent enzyme ribonucleotide reductase"
"epigallocatechin-3-monogallate","","natural product"
"myricetin","","flavonoid antioxidant"
"methotrexate","DHFR","inhibitor of dihydrofolate reductase"
"lovastatin","HMGCR","inhibitor of HMG-CoA reductase"
"valdecoxib","PTGS2","inhibitor of cyclooxygenase-2 (COX2)"
"dacarbazine","","DNA alkylator"
"prochlorperazine","DRD2","inhibitor of dopamine receptor D2"
"ifosfamide","","DNA alkylator"
"doxorubicin","TOP2A","inhibitor of topoisomerase II"
"ouabain","ATP1A1;ATP1A2;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1B3;ATP1B4","cardiac glycoside; inhibitor of the Na+/K+-ATPase"
"BRD9647","","screening hit"
"piperlongumine","","natural product; modulator of ROS levels"
"pyrazolanthrone","MAPK10;MAPK8;MAPK9","inhibitor of Jun N-terminal kinase (JNK) 1/2/3"
"C6-ceramide","MAPK1;PPP2CA;UGCG","inhibitor of glucosylceramide synthase; activator of MAP kinase (ERK); stimulator of protein phosphatase 2A"
"topotecan","TOP1","inhibitor of topoisomerase I"
"importazole","KPNB1","inhibitor of importin"
"etoposide","TOP2A","inhibitor of topoisomerase II"
"PRIMA-1","TP53","re-activator of the pro-apoptotic activity of mutant p53"
"tanespimycin","HSP90AA1","inhibitor of HSP90"
