"drug","target","moa"
"Erlotinib","EGFR","ERK Signalling, PI3K/MTOR"
"AICAR","AMPK agonist","AMPK, Metabolism"
"Camptothecin","TOP1","Replication"
"Vinblastine","Microtubules","Cytoskeleton, Mitosis"
"Cisplatin","DNA crosslinker","Replication"
"Cytarabine","DNA synthesis","Replication, Other"
"Docetaxel","Microtubules","Cytoskeleton, Mitosis"
"Methotrexate","Dihydrofolate reductase (DHFR)","Replication, Transcription"
"ATRA","Retinoic acid and retinoid X receptor agonist","Transcription"
"Gefitinib","EGFR","ERK Signalling, PI3K/MTOR"
"ABT-263","BCL2, BCL-XL, BCL-W","Apoptosis"
"Vorinostat","HDAC inhibitor Class I, IIa, IIb, IV","Chromatin Modification"
"Nilotinib","ABL","Cytoskeleton"
"RDEA119","MEK1/2","ERK Signalling"
"CI-1040","MEK1/2","ERK Signalling"
"Temsirolimus","MTOR","Metabolism, PI3K/MTOR"
"AZD-2281","PARP1/2","DNA Repair, Other"
"ABT-888","PARP1/2","DNA Repair, Other"
"Bosutinib","SRC, ABL, TEC","Cytoskeleton, ERK signalling, Other"
"Lenalidomide","TNF alpha","NFkappB"
"Axitinib","PDGFR, KIT, VEGFR","Angiogenesis, ERK Signalling, PI3K/MTOR"
"AZD7762","CHK1/2","Cell Cycle (Interphase), DNA Repair"
"GW 441756","NTRK1","ERK Signalling, PI3K/MTOR"
"CEP-701","FLT3, JAK2, NTRK1, RET","ERK Signalling, JAK/STAT, PI3K/MTOR"
"SB 216763","GSK3A/B","Wnt"
"17-AAG","HSP90","Other"
"VX-702","p38","Stress Pathways"
"AMG-706","VEGFR, RET, c-KIT, PDGFR","Angiogenesis, ERK Signalling, PI3K/MTOR"
"KU-55933","ATM","DNA Repair"
"Elesclomol","HSP70","Other"
"BIBW2992","EGFR, ERBB2","ERK Signalling, PI3K/MTOR"
"GDC-0449","SMO","Other"
"PLX4720","BRAF","ERK Signalling"
"BX-795","TBK1, PDK1, IKK, AURKB/C","Mitosis, NFkappB, PI3K/MTOR"
"NU-7441","DNAPK","DNA Repair"
"SL 0101-1","RSK, AURKB, PIM3","ERK Signalling, Mitosis"
"Bortezomib","Proteasome","Other"
"BIRB 0796","p38, JNK2","Stress Pathways"
"JNK Inhibitor VIII","JNK","Stress Pathways"
"681640","WEE1, CHK1","Cell Cycle (Interphase)"
"Nutlin-3a","MDM2","Transcription"
"PD-173074","FGFR1/3","ERK Signalling, PI3K/MTOR"
"ZM-447439","AURKB","Mitosis"
"RO-3306","CDK1","Mitosis"
"MK-2206","AKT1/2","Apoptosis, Metabolism, PI3K/MTOR"
"PD-0332991","CDK4/6","Cell Cycle (Interphase)"
"NVP-BEZ235","PI3K (Class 1) and mTORC1/2","Metabolism, PI3K/MTOR"
"GDC0941","PI3K (class 1)","Metabolism, PI3K/MTOR"
"AZD8055","mTORC1/2","Metabolism, PI3K/MTOR"
"XMD8-85","ERK5 (MK07)","Other"
"PD-0325901","MEK1/2","ERK Signalling"
"SB590885","BRAF","ERK Signalling"
"AZD6244","MEK1/2","ERK Signalling"
"AZD6482","PI3Kb (P3C2B)","Metabolism, PI3K/MTOR"
"CCT007093","PPM1D",NA
"EHT 1864","Rac GTPases",NA
"BMS-708163","gamma-secretase",NA
"Paclitaxel","Microtubules","Cytoskeleton, Mitosis"
"Roscovitine","CDKs","Cell Cycle (Interphase), Mitosis"
"Salubrinal","GADD34-PP1C phosphatase","Other"
"PF-4708671","p70 S6KA",NA
"JNJ-26854165","MDM2",NA
"TW 37","BCL-2, BCL-XL",NA
"CCT018159","HSP90",NA
"AG-014699","PARP1, PARP2",NA
"Lapatinib","EGFR, ERBB2","ERK Signalling, PI3K/MTOR"
"GSK269962A","ROCK","Cytoskeleton"
"Doxorubicin","DNA intercalating","Replication"
"Etoposide","TOP2","Replication"
"Gemcitabine","DNA replication","Replication"
"Mitomycin C","DNA crosslinker","DNA Repair"
"Vinorelbine","Microtubules","Cytoskeleton, Mitosis"
"NSC-87877","SHP1/2 (PTN6/11)","Other"
"Bicalutamide","Androgen receptor (ANDR)","Other"
"QS11","ARFGAP","Other"
"Midostaurin","KIT","PI3K/MTOR"
"CHIR-99021","GSK3B","Wnt"
"AP-24534","ABL","Cytoskeleton"
"JNK-9L","JNK","Stress Pathways"
"PF-562271","FAK","Adhesion, Cytoskeleton"
"DMOG","Prolyl-4-Hydroxylase","Other"
"FTI-277","Farnesyl transferase (FNTA)","ERK Signalling"
"OSU-03012","PDK1 (PDPK1)",NA
"Cyclopamine","SMO","Other"
"Shikonin","unknown","Other"
"AKT inhibitor VIII","AKT1/2","Metabolism, PI3K/MTOR, Apoptosis"
"Embelin","XIAP","Apoptosis"
"FH535","unknown","Wnt"
"PAC-1","CASP3 activator","Apoptosis"
"IPA-3","PAK","Cytoskeleton,"
"GSK-650394","SGK3","Other"
"BAY 61-3606","SYK","PI3K/MTOR"
"Thapsigargin","ATPase, Ca++ transporting, cardiac muscle, slow twitch 2","Other"
"Obatoclax Mesylate","BCL-2, BCL-XL, MCL-1","Apoptosis"
"BMS-754807","IGF1R","ERK Signalling, Metabolism, PI3K/MTOR"
"OSI-906","IGF1R","ERK Signalling, Metabolism, PI3K/MTOR"
"Bexarotene","Retinioic acid X family agonist","Transcription"
"Bleomycin","DNA damage","Other"
"LFM-A13","BTK","Other"
"AUY922","HSP90","Other"
"Bryostatin 1","PRKC","Other"
"Pazopanib","VEGFR, PDGFRA, PDGFRB, KIT","Angiogenesis, PI3K/MTOR, ERK signalling"
"LAQ824","HDAC",NA
"Epothilone B","Microtubules","Cytoskeleton, Mitosis"
"GSK-1904529A","IGF1R",NA
"Tipifarnib","Farnesyl-transferase (FNTA)","ERK Signalling"
"AS601245","JNK","Stress Pathways"
"AZ628","BRAF","ERK Signalling"
"Rapamycin","MTOR","Metabolism, PI3K/MTOR"
"Sorafenib","PDGFRA, PDGFRB, KDR, KIT, FLT3","ERK Signalling, PI3K/MTOR"
"VX-680","Aurora A/B/C, FLT3, ABL1, JAK2,","Mitosis,Cytoskeleton, Other,JAK/STAT"
"Imatinib","ABL, KIT, PDGFR","Cytoskeleton, ERK Signalling, PI3K/MTOR"
"NVP-TAE684","ALK","ERK Signalling, PI3K/MTOR"
"PF-02341066","MET, ALK","ERK Signalling, PI3K/MTOR"
"AZD-0530","SRC, ABL1","Cytoskeleton, ERK Signalling"
"S-Trityl-L-cysteine","KIF11","Mitosis"
"Z-LLNle-CHO","g-secretase","NOTCH"
"Sunitinib","PDGFRA, PDGFRB, KDR, KIT, FLT3","ERK Signalling, PI3K/MTOR"
"Dasatinib","ABL, SRC, KIT, PDGFR","Cytoskeleton, Adhesion, ERK Signalling, PI3K/MTOR"
"GNF-2","BCR-ABL","Other"
"CGP-60474","CDK1/2/5/7/9","Cell Cycle (Interphase), Mitosis"
"CGP-082996","CDK4","Cell Cycle (Interphase)"
"A-770041","SRC family","Cytoskeleton, ERK Signalling"
"WH-4-023","SRC family, ABL","Cytoskeleton, ERK Signalling"
"WZ-1-84","BMX","Other"
"PHA-665752","MET","ERK Signalling, PI3K/MTOR"
"BI-2536","PLK1/2/3","Mitosis"
"BMS-536924","IGF1R","ERK Signalling, Metabolism, PI3K/MTOR"
"BMS-509744","ITK","Adhesion, Cytoskeleton"
"CMK","RSK","ERK Signalling"
"Pyrimethamine","Dihydrofolate reductase (DHFR)","Replication, Transcription"
"JW-7-52-1","MTOR","Metabolism, PI3K/MTOR"
"A-443654","AKT1/2/3","Metabolism, PI3K/MTOR, Apoptosis"
"GW843682X","PLK1","Mitosis"
"MS-275","HDAC","Chromatin Modification"
"Parthenolide","NFKB1","NFkappB"
"MG-132","Proteasome","Other"
"KIN001-135","IKKE","NFkappB"
"TGX221","PI3K beta",NA
