"","Bmem.activated","Bmem.resting","Bnav.activated","Bnav.resting","Bplasma.resting","BSph.resting","ESph.resting","mDC.activated","mDC.resting","MOcl.activated","MOcl.resting","MOim.resting","MOnc.resting","mTregs.activated","mTregs.resting","NKbri.activated","NKbri.resting","NKdim.activated","NKdim.resting","NTph.resting","nTregs.activated","nTregs.resting","pDC.activated","pDC.resting","T4cm.activated","T4cm.resting","T4em.activated","T4em.resting","T4emra.activated","T4emra.resting","T4nav.activated","T4nav.resting","T8cm.activated","T8cm.resting","T8em.activated","T8em.resting","T8emra.activated","T8emra.resting","T8nav.activated","T8nav.resting","Th1.resting","Th17.resting","Th2.resting"
"BASP1",2152733.25,2431902.25,2297943.5,2270462.75,874384.5,4729984.5,3719611,4075503.75,2873815.25,1776563.33333333,1783783.5,1051236.5,286036,700.666666666667,7607.5,50.6666666666667,56175.5,17625,576.5,63619004,281.333333333333,6149.5,214848,194317.75,107,82.5,554.5,1153.25,255011.5,25576,58.5,103,1.75,265,570.25,349,98.25,376,22.5,177.5,889.5,576.75,552
"CYBB",159405,376886.25,209092,246989.75,24200,16504.5,4683471,129196,704759.25,2674926,3542744.25,6124842.5,4544342.5,0,8.5,459.666666666667,7404.5,13.6666666666667,105.25,10855127,131,23076.75,979966,2648440.5,263,97.5,650.75,111.25,1034.5,9046.5,387.5,139.25,321,97.75,536.5,106.25,0,74,99.25,54,214.75,73.25,1640.25
"MNDA",361823,325703.75,79581,102622.5,1388.75,649614.75,5693464.25,3176343.5,3353680.75,8841040.33333333,5497552.25,8136061.25,8863532.5,62.3333333333333,277.25,458.666666666667,85192,192.333333333333,420.5,7103670,1038.66666666667,204.5,270078.5,1380,901,304.25,627.5,417.25,690.75,70499,94.75,160.5,341.5,538.25,6120.5,26973.5,1477.25,29808.25,822.5,96.75,274.25,731.75,927.25
"GZMB",201.25,5242,1771.5,170,23.25,360,1610,23408.25,1531.5,41914.3333333333,3687.25,4518.25,11753.75,29,0,8656495.66666667,61010,10040795.3333333,719635,33492.75,187,4704.5,209330.5,378984.75,130986,15.25,265613.75,299.75,1858962.75,56472.75,394435.25,0,4038930.75,407.75,3173977.75,98214.25,2374611,378930.5,2721412,294.5,94,2.25,0
"EPX",52.75,126.75,90,26.5,76.25,2136881.25,27801021.75,39,1142.75,1433918.33333333,2626253.25,399136.25,635847.75,42.3333333333333,50.5,69,34.75,28.6666666666667,11.75,17602869.25,72,17.25,46.75,491.75,56.5,73.5,1446.5,53.5,171,109.25,109.25,12.25,30,19,264121.25,38.5,16.5,107.25,26.75,402.25,12,23,15
"NCF1",575193.75,534438,544184.25,475741.75,57754.25,2584487.25,5191097.75,407655.75,105321.5,1787802,2336872.75,2469190.5,767589.75,473.333333333333,56.75,531,1319.75,807.333333333333,68.25,3186305.5,68.3333333333333,4496.5,572196,1009230,368.25,2735.5,991.25,80.75,7351,577.5,495,63.5,457,36.75,391.25,834.25,1059.25,53,131,38.5,32.75,3054,505.25
"MPO",2354,2684.75,1039.75,885.5,175.25,196374.25,1357536.5,1784.75,212147.25,11103321.6666667,16412995.25,8782585.75,6092756.5,52.3333333333333,197.5,39.3333333333333,31631.25,138,722.75,107264883.75,228.333333333333,857,738,2668.5,1664.25,260.25,900.75,4937,940.75,14108.75,37.75,268.25,74,250.5,63,294.25,381.5,547.5,123.5,440.75,114.75,293,500.5
"MARCKS",74235.5,1045378,57858.25,423148.75,637096.25,25277.25,22725.75,1855945.5,864646.75,1994212,682581,4429343.25,1463053.25,0,6898.25,4365.66666666667,5118.25,23237,189.75,2894486,0,125.25,149980.75,4736.5,14.75,97.5,91,168.25,212227,4086,2.5,121.75,93.5,138.5,29,261.5,1902.75,86.75,28.5,53.25,734,3642.25,266.75
"FCER1G",0,0,121966.5,5448,0,1187901.25,125006,141921.5,349565.5,1303370.66666667,672777.5,3248110.5,1952683.75,0,0,431854,246270.5,1588128.33333333,497511,4922107.5,238017,46375.75,95086.75,775685,0,23838,50335.25,2957.75,67031.75,145579.5,1503.75,6306,0,0,20926.75,0,12399,104220,19530.5,232,6416,0,0
"GZMA",912.25,84.75,1059.75,205.75,153.5,7834.5,2482.25,780,1134.75,921.666666666667,1914.75,294822.5,8846.25,289,5327.25,11833610.3333333,3120491.5,13289476.3333333,4864931.75,7994.5,574.333333333333,215.5,1643.75,4479.25,31586.25,14705.75,357639.5,797921.75,1086882.25,2055158.5,3663.5,19.25,870751.25,956806.25,4127025.25,5127661.75,2937653,6025395.25,118364.75,17127.25,150933,11180.5,11071.5
