"","tsne.x","tsne.y","membership","pert_iname","clinical_phase","moa","target","disease_area","indication"
"1,2-dichlorobenzene",-24.7876532231766,14.3681917279004,21,NA,NA,NA,NA,NA,NA
"10-DEBC",13.1140612240062,2.51972737132149,13,"10-DEBC","Preclinical","AKT inhibitor","PIM1","",""
"10H-phenothiazin-10-yl)(p-tolyl)methanone",-23.3637651401323,3.4228500698237,15,NA,NA,NA,NA,NA,NA
"15-delta-prostaglandin-j2",9.29841564456545,-1.73492297166302,13,NA,NA,NA,NA,NA,NA
"16,16-dimethylprostaglandin-e2",9.60090633736815,-1.30452161232399,13,"16,16-dimethylprostaglandin-e2","Phase 2","prostanoid receptor agonist","HPGD","",""
"2-(biphenyl-4-ylsulfonamido)pentanedioic-acid",-21.4778193678108,4.82168049724003,15,NA,NA,NA,NA,NA,NA
"2-aminopurine",14.6651508954871,12.5718762534556,7,NA,NA,NA,NA,NA,NA
"2-fluoropalmitic-acid",-12.5198605477059,11.8905197938868,2,NA,NA,NA,NA,NA,NA
"2',5'-dideoxyadenosine",-11.8743767047414,12.1739215313916,2,NA,NA,NA,NA,NA,NA
"3-amino-benzamide",-28.2038849495323,9.76699146099947,21,"3-amino-benzamide","Phase 2","PARP inhibitor","PARP1","",""
"3,3'-diindolylmethane",4.40252905628079,20.0465570823194,24,"3,3'-diindolylmethane","Phase 3","CHK inhibitor|cytochrome P450 activator|indoleamine 2,3-dioxygenase inhibitor","AR|HIF1A|IFNG|PI3","",""
"4-hydroxyretinoic-acid",8.46702197391539,-10.2293304636368,26,NA,NA,NA,NA,NA,NA
"4-iodo-6-phenylpyrimidine",7.22348235605341,31.7481483504341,12,"4-iodo-6-phenylpyrimidine","Preclinical","macrophage migration inhibiting factor inhibitor","MIF","",""
"4,5-dianilinophthalimide",12.3021770026677,2.89269563837906,13,NA,NA,NA,NA,NA,NA
"4,5,6,7-tetrabromobenzotriazole",21.4833111217238,17.2174616172377,4,"4,5,6,7-tetrabromobenzotriazole","Preclinical","casein kinase inhibitor","AKT1|CHEK1|CSNK2A1|GSK3B|LCK|MAP2K1|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1|SGK1","",""
"5-iodotubercidin",17.3994485713995,7.98396881244824,5,NA,NA,NA,NA,NA,NA
"5-methoxytryptamine",-15.1906115901151,15.2158821143065,2,NA,NA,NA,NA,NA,NA
"5'-guanidinonaltrindole",17.9881707637323,25.1875075004662,4,NA,NA,NA,NA,NA,NA
"6-aminochrysene",-18.9007558105284,7.53266689531365,15,"6-aminochrysene","Phase 2","transferase inhibitor","","",""
"6-benzylaminopurine",-10.1569048413981,10.3796386509905,2,"6-benzylaminopurine","Preclinical","purinergic receptor activator","","",""
"7-nitroindazole",-13.1786476117861,3.87305472116369,15,"7-nitroindazole","Preclinical","nitric oxide synthase inhibitor","NOS1|NOS2|NOS3","",""
"7,8-dihydro-L-biopterin",14.6131355437538,3.45665309267967,13,NA,NA,NA,NA,NA,NA
"7b-cis",8.39636682855384,2.92287362630779,14,NA,NA,NA,NA,NA,NA
"9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide",20.0134015444102,16.1476634224449,7,NA,NA,NA,NA,NA,NA
"A-23187",3.28654765741645,-1.68701593103578,19,NA,NA,NA,NA,NA,NA
