"","Adipose","Adrenal Gland","Artery","Bladder","Brain","Breast","Cervix","Colon","EBV-transformed lymphocytes","Esophagus","Fallopian Tube","Heart","Kidney","Liver","Lung","Minor Salivary Gland","Muscle","Nerve","Ovary","Pancreas","Pituitary","Prostate","Skin","Small Intestine","Spleen","Stomach","Testis","Thyroid","Transformed fibroblasts","Uterus","Vagina","Whole Blood"
"DES",83.6793431127096,12.52,880.997666591078,6425,5.77251166161486,25.145,827.747850675946,5497.4844275491,6.9365,4691.17513787408,2564,6521.29990110851,8.957,6.223,253.1,32.37,11875,31.095,148.9,6.3845,7.585,3005,123.386896415981,229.6,30.055,289.9,32.58,82.325,6.976,3681,798,7.658
"HBB",316.391918611675,23.38,177.058859253884,39.97,203.170237868586,177.35,89.1007977212189,33.8905746584948,50.93,46.3296284698023,106.1,204.999441746817,474.8,309.3,999,29.96,71.16,101.6,61.72,10.86,433,99.77,24.5434688325607,9.306,2780.5,29.215,44.47,354.55,4.136,102.4,125.7,246600
"S100A9",282.531515003183,111.95,111.736733083688,144.8,19.1178442928872,175.5,119.377855106328,60.5336005772456,12.105,724.098154325177,221.9,75.4772319059732,74.9,91.88,1690,708.3,32.115,53.315,42.42,19,41.63,62.205,79.0737410141427,66.63,5788.5,55.81,16.42,95.655,8.339,64.43,16170,28220
"IGHA1",42.4454888337098,13.15,32.8902418986376,33.83,1.87953531670555,149.05,147.668490272821,244.336809305086,411.25,29.819403949538,416.7,5.55548121803426,34.98,120.6,1676,11560,3.669,20.315,21.14,24.385,21.62,80.03,18.6112212776257,4214,8096.49999999999,1976,5.096,40.58,3.069,25.37,96.59,278.8
"REG1A",2.13210919349885,6.3355,4.08822986947593,11.13,1.05600312629963,3.735,11.2485509347024,4.8112443589992,5.0265,4.19898940074683,13.45,1.11082211472213,15.32,4.98,2.683,3.32,1.0465,2.8815,8.425,57225,4.765,5.7695,1.9367839552817,2840,8.8365,316.65,5.253,2.911,4.826,7.101,6.306,1.633
"MYL9",1148.00957350233,1139.5,9971.35558446645,4812,30.6209825984073,1051.5,1815.23181339828,5123.72213880909,12.52,4256.9328743449,2926,1356.86707744168,287.2,45.07,1032,275.6,85.945,1517,1023,44.29,92.49,2150,319.584216704441,380.3,306.85,377.85,420,748.25,633.8,4056,1064,34.87
"MYH11",114.716578328259,14.075,3102.91628419055,5006,5.49152121012104,117.7,716.839205532827,3130.59703665718,2.9695,2696.22359636936,1325,33.253697610623,14.54,4.916,216.7,108.1,21.605,122.65,207.8,4.899,8.77,1325.5,79.8882970521694,153.9,75.165,180.3,146.9,65.39,2.398,2070,431.3,1.991
"HBA2",111.117090579447,7.3675,59.0375056261373,15.08,68.0332484936812,56.31,28.6858409010087,10.9533656348327,19.285,15.5557407940293,44.02,76.3403516930198,203.9,104,363.2,8.034,25.675,35.615,21.77,3.5155,169,36.965,30.493104007068,2.869,873.25,9.358,19.44,121.15,1.293,33.54,45.13,82889.9999999999
"PRSS1",4.21539797139202,11.14,8.09611607262022,18.15,1.33735162657524,7.3085,20.9309119737415,7.65292736592652,10.74,8.23739747553364,18.3,1.97048632381972,6.578,9.69,4.53,5.891,1.529,5.148,15.56,99094.9999999999,10.11,11.82,4.48050946536907,74.31,15.4,36.06,9.668,4.7165,9.025,14.45,12.39,2.076
"IGKJ4",45.7005888613837,8.338,31.4227420833235,13.63,1.14937007395082,99.015,173.723581694057,178.169333313489,558,20.8677517836983,866.4,4.04690122748603,46.8,80.11,959.1,4583,2.519,21.26,25.35,11.15,13.25,45.02,9.06058149412846,2447,8752.5,677.45,3.693,35.865,1.529,35.82,90.09,282.7
