"","A-431","A549","AF22","AN3-CA","ASC diff","ASC TERT1","BEWO","BJ","BJ hTERT+","BJ hTERT+ SV40 Large T+","BJ hTERT+ SV40 Large T+ RasG12V","CACO-2","CAPAN-2","Daudi","EFO-21","fHDF/TERT166","HaCaT","HAP1","HBEC3-KT","HBF TERT88","HDLM-2","HEK 293","HEL","HeLa","Hep G2","HHSteC","HL-60","HMC-1","HSkMC","hTCEpi","hTEC/SVTERT24-B","hTERT-HME1","HUVEC TERT2","K-562","Karpas-707","LHCN-M2","MCF7","MOLT-4","NB-4","NTERA-2","PC-3","REH","RH-30","RPMI-8226","RPTEC TERT1","RT4","SCLC-21H","SH-SY5Y","SiHa","SK-BR-3","SK-MEL-30","T-47d","THP-1","TIME","U-138 MG","U-2 OS","U-2197","U-251 MG","U-266/70","U-266/84","U-698","U-87 MG","U-937","WM-115"
"FN1",11,76.1,112.1,21.9,3057.2,24376.9,4.8,1597.8,1017.9,1740.8,1286.8,955.2,39.1,0.8,9.5,4904.1,172.6,19,3085,967.4,0.9,6.9,0.7,18.8,2476.6,2698.3,1,5.9,11926.5,21.2,4436.1,7509.7,1836.3,7.4,3.5,3151.2,12.9,2.3,0.9,55.6,14.6,0.9,2.3,5.4,36.3,11.5,7.1,27.7,240.6,88,962.2,18.6,2.1,3475.6,2648,299.1,2770.9,294,3.4,1.2,1,3127.2,0.8,705
"VIM",18.4,1009.9,1955.1,2944,4396.4,12818.5,2.9,4421.7,2810.1,3592.2,3333.1,7,61.8,2.1,257,7811.8,7.5,292.2,105.3,3614.8,3305,354,504.5,381.7,0.2,1653,238.4,195.8,4903.2,4.7,5714.6,2470.6,5307,792.6,1131.1,5778.8,3.4,588.6,574.3,631,1292,514,2656.5,65.5,2935.3,0.6,9.6,1003.3,1.5,5.1,4129.8,8.1,229.8,4442.7,3764.8,1726.2,3013.3,5203,1337.4,665.1,89.5,5647.4,22.6,3669.3
"KRT8",2425.6,5518.3,0.3,7.3,0.5,2.3,3855.6,9.4,39.2,5.7,6.2,6334.4,4191.3,0.9,1063.5,11.6,835.2,18.2,538.9,5.7,4.2,119.6,3.9,850.8,1507.3,179,1.1,2.3,6.9,9.1,14.9,39.1,14.2,431.5,1.4,0.2,7987.2,5.2,6.8,417.6,123.1,3.5,2.2,10.4,895.4,1077.4,152.8,5.3,1124.5,3839.1,6.6,4059.8,7.2,15.3,5.9,465.6,8.6,8.3,1.2,4.9,4.5,3.3,1.3,13.2
"MT-ND6",2867.6,2368.8,2229.1,2671.8,254.7,24.3,1558.8,3657.8,7.2,12.9,13.9,2954.9,2845.4,5021.3,2705.6,91,4223.9,25.8,56.7,22.6,3872.1,1816.3,3785,11269,7006.3,25,2141.8,3353.1,46.8,75.5,104,66.5,19.2,1649.7,1922,78.8,5358.8,669.2,2339.6,491.5,1175.1,1824.9,1395.7,2101,46.3,7586,1092.9,1577.2,2391.9,2931.4,1406.1,2853.6,3488.9,7198,2444.8,2185.5,3301.3,1453.6,692.3,1820.2,1156.1,1648.1,2121.5,1455.7
"S100A6",1854.2,2106.9,2.4,175.7,2563.9,3369.4,5.1,2143.2,5100.6,1170,1595.9,135.5,3788.1,2,740.6,2941.5,793,43.2,2613.5,571.2,809.6,0.7,397.1,1037.1,98.5,1186.3,17,256,1643.3,2140.8,1351.8,1779.9,2365.3,1.4,3.7,2649.7,245,5.4,115.6,4.7,3500.4,2.1,273.8,531.4,7409.7,1542.1,686.5,109.9,3659.1,2596,2050.4,449,459.7,3406.3,1188.8,329,2318.4,3455.7,4.6,4.4,4.2,4584.2,367.9,2602.5
"SERPINE1",66.3,57.4,1.2,4.7,519.5,1046.4,85.1,2907.6,526.1,1579.7,1431.9,7.6,4.8,1.9,756,856,15.6,0.5,190.7,1681.7,4,0.6,0.9,3.6,41.1,1272.7,0.1,3.4,427.9,76,2612.2,1045,3307.7,5.7,1.8,3188.1,0.3,0.5,1.3,17.9,38.2,0.5,5.9,3.2,3.9,23.9,1.2,0.8,299.5,57.4,7.1,3,6.5,8072.1,4492.2,208.8,1463.3,3465.4,0.4,2,2.6,1114.1,1.8,44.7
"LGALS1",2280.6,1367.6,32.9,1221.4,2055,4088.3,28.8,4999.7,5593.5,3986.8,4125.8,141.2,296.5,2.1,560.8,4666.1,240.5,55,2790.9,1439.1,2482.1,25.5,206.3,1054.9,479.3,1636.6,105.7,2562.8,2647.1,188.3,3428.4,1116.3,3991.1,150.9,765.3,2803.6,890.6,3.8,1175.1,13.1,3277.3,4.5,2121.4,495.6,1339.4,4.6,5.9,818.7,1254.7,154,1161.8,1022,1048,5320.7,5601,2967.2,2372.8,2536.3,493.4,325.4,7.5,6529.6,537.8,2286.7
"ANXA2",3763.2,4251.8,241.3,101.7,2227.8,3621.2,1017.8,4239.2,2608.9,2901.1,2642.2,1856.9,1773.4,8.2,3793,5070.6,3961,1128.2,6757.6,3279.3,852.3,106,77.9,1510.5,599.3,1641.2,3.6,54.7,1849,1819.2,2222.4,3643.7,4922.9,310.8,347.3,5628.7,381.3,15.3,160.9,530.6,3354.4,45.9,1292.3,166.6,4191.1,2053.6,373.6,191.3,2105.7,334.6,1548.2,899.5,120.8,5539.6,2600.6,3751.7,8326.6,4133.4,137,441.2,56.8,2432.4,39,5300.3
"SPARC",5.2,4.5,1222.5,54.5,3432.3,1180.1,111.8,3597.1,1129.5,1604.2,1716.6,4.4,3.7,1.5,928.7,5254.9,51.6,162.6,232.3,572.3,4.5,54.3,52.9,0.3,81.5,1254,2.3,5,1925.8,329.5,1272.2,135.9,2007.8,48.7,32.7,827.5,0.3,3.8,23.5,574.1,4.3,2.6,1187.3,2.9,0.4,0.4,55,99,3,1,445.6,4.4,95.8,2337.1,788.1,1289.4,340.1,1122.7,2.9,4.2,4.6,682.9,2.9,4850.9
"KRT7",3.7,2160.1,0.6,1.4,1.9,0,2642.4,430.7,0.5,243.5,23,6.2,1479.9,0.1,1.3,136.6,1645.3,0.2,4461.4,12.9,2.4,0,2,850.1,5.4,48.2,1.2,1.3,1,274.5,1.3,1877,223.4,0.6,1.4,0,10,1.5,2.3,7.4,2.2,1.8,4.6,26.7,1140,5973,4.1,2.6,6200.7,2524.1,0,122.5,0,1656,1.9,3.9,2.2,0.9,1.3,0.3,1.4,1.7,1.2,1.2
"KRT18",1661.1,5013.4,1,7,0.5,0.7,3293.3,238.1,277.2,333.6,98.8,5077.2,3861,0.9,721.6,239.7,401.2,79.9,1537.3,207.2,2.1,119.2,15.9,605.5,1161.3,758.8,0.4,1.1,9.5,142.1,313.6,328.7,322.7,415.3,0.1,0.3,6322.5,2.9,22,444,385.8,2.5,0.3,150.2,1319.6,898.2,74,3.6,486,3303.2,14.2,2193.6,4.2,101.2,4.7,432.1,6.1,53,0.8,4.9,2.4,0.8,0.9,34.4
"COL1A2",0.1,0,22.1,1378.4,2673.1,3247.5,1.2,3371.1,2361.7,598.1,828,0,2.5,0.2,2.5,10547.5,0.5,2.3,1.1,151.8,0.1,0.1,0.1,0,0,856,0.8,0.5,2949.4,0.1,508.1,1.9,0.4,0.2,0.2,458.1,0,0.5,0.9,2.4,5.8,0.4,0.8,0.5,0.1,0,15.2,1.5,0.3,0.7,0.1,1.9,0.1,12.7,1602.8,0.8,949.3,94.9,0.9,0.1,0.2,399.7,0.4,9
"TMSB4X",5142.8,4376,9156.3,13632.9,7619,8460.7,21.9,2572.3,6412.3,2150.5,3844.4,829.4,4228.8,1000.2,2701.2,7208.7,2232.2,1431.9,1463.3,2985.6,7635,73.1,1566.4,1907.3,8.6,2168.8,5472,12205.5,4120.3,2067.4,2741.9,1827,11765.5,202,15.7,6906.8,1601.1,6609.3,9400,3342.3,3048.5,5711.1,3175.6,3978,10434,1350.3,1155.9,443.2,4675.7,154.2,441.4,5142.3,4640,9334.4,3300.5,1734.2,17847,2536.1,3342,2389,1860.3,5009.5,2199.3,2437
"S100A4",9.8,1995.9,10.2,58.8,1870.4,1306.9,2.6,1174.5,4403.5,25.2,117,13.7,135.3,0,233.9,3054.2,49.1,8.3,14.3,20.2,297.6,1.3,857.4,326.1,33.8,3.1,67.7,1360.3,213,15.2,53.7,9.8,2,7.6,1.7,1645.9,6.5,2.5,629.7,6.2,773,46.7,3.1,1464.4,63.8,48.2,98,10.4,26.4,781.8,6.5,59.6,802.1,2.5,6.7,12.8,1703.5,6.6,51.5,342.2,7.2,5.2,828.2,105.5
"KRT19",2.2,311.7,0,5.9,0.4,1.2,1127.8,347.8,0.4,11.9,2.9,822.5,1710.1,0.3,370,154.2,923.1,0.1,2110.1,2.5,0.7,9.5,0.2,148.5,467.6,25.5,0,72.2,0.5,378.3,9,0.3,21.9,132.3,1.8,0,1699.1,4.7,1.9,18.5,456.6,2.7,0.1,4.1,1000.5,2508,47.1,1.8,3.5,4076,0,3451.5,0.2,1.4,3.6,6.4,7.1,0.6,0.8,0.5,1.1,1.5,0.2,2.8
"S100A2",723.2,8.5,1.1,0.9,7.4,2.9,1.2,8.8,9.2,8.4,7.6,1.6,23.5,0.9,396.5,13.8,1771.6,1.4,15305.5,9.6,5,3.1,3.4,37.5,3.4,3.8,0.6,1.6,6.4,2008.5,24.1,2419.5,11,0.7,1,39.5,2.6,0.2,0.1,2.2,144.2,1.2,483.3,1.4,375.5,6706.3,19.4,0.6,37.1,4.4,7.4,3,3.9,4.9,12.3,716.4,86.1,231.9,1.5,1.6,2.8,25.8,1.5,23.8
"TGFBI",88.4,365.7,0.7,3.3,747.1,249.9,1.4,253.9,31,188,117.8,151.8,1105.2,0.1,169,2100.5,428.1,1,693,173.6,2.1,0.1,0.1,323.1,338.9,610.7,0.5,3.4,1955.4,1380,76.3,65.4,145.9,0.2,2.6,1843.8,3.7,0.6,0.4,12.5,0.6,0.3,20.3,2.3,72.4,7,1.4,0.7,502.6,11.4,3.3,3.4,73.7,605.5,1343.1,61.6,1780.9,898.7,0.2,0.4,1.1,3543.6,0.5,1049.8
"KRT17",183.3,0.2,0,0,0.6,0.7,47.4,5.9,1.8,3.3,4,14.5,1.6,0.7,14,0.3,1812.8,0.1,1512.3,2.8,0.3,1.6,1.8,619.8,1.3,0.5,1.5,2.1,0.9,14378.7,1.3,1169.4,0.9,0.9,1.1,3.6,0.5,0.4,0.1,0.5,0,0.6,3.3,1.2,0.6,620.2,0.3,0.2,8960.6,2.8,0.4,0.3,0.5,0.6,0,423,0.3,0.9,0.7,0.3,2.2,1.6,58.6,1.3
"FTL",747.7,11567.5,928.3,1336,10868,11425,1615.9,1834.8,10291.7,2845.6,6650.2,2332.7,2969.6,464.2,3833.3,10120,443.1,802.4,922.5,2650.2,8158.2,460,1544,2224.8,12665.7,20612,3242.5,4875.8,14967.5,1233.1,5218.9,1748.8,3752.8,2896.6,945.3,5099.7,160.3,911.9,1500.4,1707,1198.8,854.3,615.9,4651,1474.7,429.2,1409.5,736.2,6046,232.2,932.3,170.4,5664.2,2769.5,3274.8,1824.8,4012.3,2488.5,4299.1,9327.6,415.4,3450.7,3315.8,5870
"MT2A",281.3,120.6,3.4,101.4,599.5,889.7,17.3,2234.6,1105.2,472.6,448.8,0.6,488.2,35.4,339.9,166.2,301.5,121.8,6860.6,200.9,484.7,73.6,55.3,90.4,34.1,348.5,314.4,34.7,579.5,315.9,1179.1,349.6,540.6,3.3,3.2,3182.4,177.6,35.1,329.2,250.2,1145.7,42.5,149.1,2.9,1820.5,2.2,70,15.8,690.2,171.1,138.7,34.6,33.7,681.8,2570,1056.3,402.4,635.2,2.6,3.9,2.6,3004.5,374.6,160.4
"SRGN",4.6,36.9,0.1,0.3,527.4,523,1.1,79.5,51.1,214.8,272.3,0.1,15.8,6,109,3.1,0.9,0,14.1,766.9,484.5,0.3,75.9,22.6,0.2,264.2,3514.5,807.1,222.1,0.8,641.9,30.2,1012.5,70,300.7,1025.7,0.2,14.6,1617.9,0.5,75.4,2,2.2,305.8,0.4,4.6,0.3,0.9,2.4,0.4,12.6,1.9,2938.4,2120.9,186.1,12.2,3.5,16.4,369.8,351,38.4,110.1,2758.4,1.2
"CAV1",380.1,316.5,9.3,3.4,944.3,1463.9,19.8,855.3,1866.6,509.9,557.5,2.4,553.8,0.1,329.4,930.5,706.8,2.2,1617.7,798.4,27.2,17,0.3,92,0.2,159.4,0.1,1.8,522.4,339.5,801.6,403.8,1395.8,0.2,16.6,1943.1,35,0.4,0.5,32,154.4,4.6,22.8,170.9,235.4,1.3,1.1,0.7,330.6,14.8,39.2,1.5,2.6,1057.8,1793.8,217.8,654.4,234,71.2,10.9,1.1,718.3,0.7,663.7
"RPL9",54.3,51.4,2063.9,51.6,80.6,108.6,81.6,847.1,1222.9,1142.9,899.1,122.1,993.9,1808.9,111.9,788.7,998.9,128.2,98.7,1287.1,860.4,1822,81.8,284.5,97.9,129.9,151.4,564.1,152.4,2242.1,99.4,1076.3,83.6,1765.2,822.9,80.2,59.3,1124.4,116.5,1873.6,70.2,1161.5,2025.4,68.1,1156,55.2,102.7,880.8,40.5,607.5,101.9,1685,80.2,59.2,55.6,87.7,1329.6,125.1,1330.9,1840,1505,1371.9,1199.6,64.7
"CD74",30.4,0.3,1.4,2.8,1.6,1.6,11.6,0,0,0.7,0.5,343.6,1796.9,2297.1,117.6,0,8.6,0,0,0.1,4315.9,0,94.9,1.3,174.5,5.4,7,5.7,18.3,0.1,0.7,0,0,6.9,891.2,0.3,0,3.7,9.6,5.6,0.2,2549.8,4.5,1320.3,6.9,107.8,6.1,9.6,5.7,3.3,71.6,78.2,258.9,3.7,11,9.4,9,3.7,1136,120.9,1220,696.5,113.2,656.2
