"","B_cells","B_cells","Plasma_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","NK_cells","NK_cells","Monocytes","Macrophages","Macrophages","Macrophages","Dendritic_cells","Dendritic_cells","Mast_cells","Mast_cells","Granulocytes","Granulocytes","Monocytes","Monocytes","T_cells","NK_cells","NK_cells","T_cells","T_cells","Granulocytes","Granulocytes","T_cells","other_cells","Macrophages","Macrophages","Macrophages","B_cells","Dendritic_cells","B_cells","Granulocytes","Plasma_cells","Dendritic_cells","B_cells","B_cells","B_cells","B_cells","B_cells","Granulocytes","Granulocytes","Dendritic_cells","Dendritic_cells","Monocytes","Monocytes","Monocytes","Monocytes","T_cells","T_cells","NK_cells","NK_cells","NK_cells","NK_cells","Granulocytes","T_cells","T_cells","Dendritic_cells","Dendritic_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","B_cells","T_cells","T_cells","T_cells","T_cells","Macrophages","Monocytes","NK_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells","T_cells"
"ABCA2",744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,744.767655795422,499.842699937508,521.884974315804,277.905279631684,1093.40792393269,385.442868968774,273.704748928056,317.416601292857,1956.34532771685,1045.11563105523,1481.207827546,1168.21599932989,1022.29018303105,1168.21599932989,1496.30434170103,713.673829472063
"ABCA5",448.691237515066,448.691237515066,448.691237515066,448.691237515066,448.691237515066,448.691237515066,448.691237515066,448.691237515066,448.691237515066,448.691237515066,448.691237515066,449.298613036494,448.691237515066,448.691237515066,448.691237515066,448.691237515066,448.691237515066,448.691237515066,448.691237515066,448.691237515066,448.691237515066,448.691237515066,157.296158594651,103.531990543349,642.86091971476,1587.58402619529,1471.13021106578,1002.363756292,428.277129346417,311.222235972064,2682.96224780037,654.869415058131,277.068699073135,217.647163864211,254.92097390148,273.449182905878,572.606046514479,259.752990897022,511.232169223331,189.662540094861,577.314598952027,537.14136154343,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068,448.718827712068
"ABCB1",293.500912796074,293.500912796074,293.500912796074,293.500912796074,294.062149526152,293.500912796074,293.500912796074,293.500912796074,293.500912796074,293.500912796074,293.500912796074,293.500912796074,293.500912796074,293.500912796074,293.500912796074,293.500912796074,293.500912796074,293.500912796074,293.500912796074,293.500912796074,293.500912796074,293.500912796074,100.9106842476,93.3924398220859,337.077979806535,6846.0276508801,2312.3564063243,1068.07384635803,137.509348862544,184.466016811444,83.672834131754,877.577072790857,614.349596149254,179.976942808789,135.311885531547,123.932358298082,270.089560092806,115.356823683375,1433.48612177969,135.311885531547,121.911359924865,158.444839730835,292.77268304068,292.77268304068,292.77268304068,292.77268304068,298.295143401474,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,320.939603692038,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,292.77268304068,560.232757326661,329.832044596113,588.872989655229,660.281954256768,834.241527626524,108.413195213015,88.5729512970044,746.462667171756,188.444305126634,238.206819161054,298.286825474191,162.076020063378,735.752975338928,117.032702694062,126.721040462991
"ABCB4",1441.36909799775,116.731240734268,100.861406004335,89.6756382969664,81.6904509104293,110.121106141624,115.806848989206,101.287229834259,91.4142080589549,92.0286155937503,120.759241329031,83.7574787080751,98.9222148463689,111.811806260742,169.769469741168,401.475523839346,503.144182206367,90.9605702004729,83.7574787080751,166.563236699716,118.208637407536,122.480697620136,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,153.149934558283,135.564572911678,135.564572911678,153.149934558283,154.160206969151,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,135.564572911678,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606,136.744467514606
"ABCB9",145.876916991575,170.232256067563,2533.66522413774,163.597788875844,200.130221198498,183.461744618958,206.330309592305,148.046705755444,187.303313683959,132.394325477654,150.163478805625,137.500214082449,158.188669843999,291.500330201265,180.744361741888,208.153814191922,585.80256516399,162.890207702549,226.387793714198,148.890427210973,148.146182377063,171.516430702435,206.516090700708,206.516090700708,206.516090700708,206.516090700708,206.516090700708,206.516090700708,206.516090700708,206.516090700708,206.516090700708,206.516090700708,206.516090700708,206.516090700708,206.516090700708,206.516090700708,206.516090700708,206.516090700708,206.516090700708,206.516090700708,206.516090700708,206.516090700708,205.668012051328,205.668012051328,205.668012051328,207.954929546445,216.547131294171,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,230.024073643266,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.818710403829,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,206.009094048995,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,205.668012051328,206.516090700709,206.516090700709,206.516090700709,206.516090700709,206.516090700709,206.516090700709,206.516090700709,206.516090700709,206.516090700709,206.516090700709,206.516090700709,206.516090700709,206.516090700709,206.516090700709,206.516090700709
"ABCC3",108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,108.916008053028,94.8642769511239,74.3167451395173,76.1037115514148,82.8095953114022,79.1598920490014,656.417723274306,241.102590173467,114.528404900149,83.623449407504,87.7760387881053,110.849723092962,88.4236308830118,110.345024555984,84.0529776414704,83.3870983547764
"ABCD2",905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628757,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628759,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,905.708687628758,391.556226011511,2217.28293097296,640.506327604454,2935.18478063665,707.184270071348,170.18487212218,163.672717623133,423.410057167595,1402.91890149209,1263.55873004664,1447.55259420351,1424.33950477501,1486.97270230378,1240.22419532998,2445.33387089688
"ABHD5",618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,618.053646796619,615.197210657555,481.935308843352,481.935308843352,462.10404093035,1088.97443751755,395.815528745161,470.810287860593,9606.95247084239,818.992403109887,462.10404093035,243.194964460895,410.781273196359,1354.10108741032,1069.36101764378,418.129623358267,452.646091777312,293.665598930994,2327.47259634499,155.476074690512,462.10404093035,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621,618.053646796621
"ABI3",465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695305,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,465.235527695307,334.360557439613,360.707009913358,232.830927509783,564.547998580454,300.641921963467,3211.95072197148,458.340070253629,1907.98880266349,394.650166396672,444.296753290361,307.171355255337,289.149726540669,365.414490415872,382.043106420736,353.74072456215
"ABLIM1",7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.943394847,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7435.94339484702,7881.58321763622,45300.5676084185,8624.46662123651,37670.7223040176,12315.4737517409,312.650485565169,287.848667098831,3408.55694390681,12859.6978247888,8696.08824041927,13698.4144872496,13698.4144872496,10554.3182173576,6563.26030265999,18336.3703359028
