"","dataset","datatype","description","organism","nsamples","ngenes","nsets","conditions","date"
"1","geiger2018-arginine2-8k-LT.pgx","LC/MS proteomics","The dataset includes dynamic metabolome/proteome profiles of activated human naive T cells. Ref: 'L-Arginine Modulates T Cell Metabolism and Enhances Survival and Anti-tumor Activity' (Geiger et al., Cell 2016).","human","18","6752","9815","activated,time","2019-03-01"
"2","geiger2018-arginine2-8k.pgx","LC/MS proteomics","The dataset includes dynamic metabolome/proteome profiles of activated human naive T cells. Ref: 'L-Arginine Modulates T Cell Metabolism and Enhances Survival and Anti-tumor Activity' (Geiger et al., Cell 2016).","human","18","6752","9815","activated,time","2019-03-01"
"3","geiger2018-arginine2-TEST-LT.pgx","LC/MS proteomics","The dataset includes dynamic metabolome/proteome profiles of activated human naive T cells. Ref: 'L-Arginine Modulates T Cell Metabolism and Enhances Survival and Anti-tumor Activity' (Geiger et al., Cell 2016).","human","18","7353","9815","time,activated","2019-04-11"
"4","geiger2018-arginine2-TEST.pgx","LC/MS proteomics","The dataset includes dynamic metabolome/proteome profiles of activated human naive T cells. Ref: 'L-Arginine Modulates T Cell Metabolism and Enhances Survival and Anti-tumor Activity' (Geiger et al., Cell 2016).","human","18","7353","9815","time,activated","2019-04-11"
"5","geiger2018b-liver-fltSC-8k-LT.pgx","LC/MS proteomics","Companion website for the 'Liver Proteomics' project (Geiger Lab). This data set includes high-throughput proteomics data of B-cell, CD4, CD8 and Monocyte cells in blood, hepatocellular carcinoma (HCC) and non-HCC tissue. CONFIDENTIAL DATA.","human","97","8000","9808","cell.type,tissue.type,etiology","Wed Jan 16 15:58:20 2019"
"6","geiger2018b-liver-fltSC-8k.pgx","LC/MS proteomics","Companion website for the 'Liver Proteomics' project (Geiger Lab). This data set includes high-throughput proteomics data of B-cell, CD4, CD8 and Monocyte cells in blood, hepatocellular carcinoma (HCC) and non-HCC tissue. CONFIDENTIAL DATA.","human","97","8000","9808","cell.type,tissue.type,etiology","Wed Jan 16 15:58:20 2019"
"7","geiger2018b-liver2-asis-8k.pgx","LC/MS proteomics","Companion website for the 'Liver Proteomics' project (Geiger Lab). This data set includes high-throughput proteomics data of B-cell, CD4, CD8 and Monocyte cells in blood, hepatocellular carcinoma (HCC) and non-HCC tissue. CONFIDENTIAL DATA.","human","165",NA,NA,"cell.type,tissue.type,etiology",""
"8","gonzalez2018-neutrophils0-8k-LT.pgx","RNA-seq","Neutrophils from mouse (Gonzalez Lab). Briefly, We isolated neutrophils from 4 different groups of mice: C57BL6/J (n=4), UBC-GFP knock-in (n=4), UBC-mCherry knock-in (n=3), and ActinB-CFP (Puffo) (n=4). The control group is C57BL6/J, comparisons are all others vs this control. We selected a purification protocol that activates as little as possible the cells, though the purity is around 85%. CONFIDENTIAL DATA.","mouse","15","8000","10384","strain","2019-01-30"
"9","gonzalez2018-neutrophils0-8k.pgx","RNA-seq","Neutrophils from mouse (Gonzalez Lab). Briefly, We isolated neutrophils from 4 different groups of mice: C57BL6/J (n=4), UBC-GFP knock-in (n=4), UBC-mCherry knock-in (n=3), and ActinB-CFP (Puffo) (n=4). The control group is C57BL6/J, comparisons are all others vs this control. We selected a purification protocol that activates as little as possible the cells, though the purity is around 85%. CONFIDENTIAL DATA.","mouse","15","8000","10384","strain","2019-01-30"
"10","gonzalez2018-neutrophils0-nnm-8k-LT.pgx","RNA-seq","Neutrophils from mouse (Gonzalez Lab). Briefly, We isolated neutrophils from 4 different groups of mice: C57BL6/J (n=4), UBC-GFP knock-in (n=4), UBC-mCherry knock-in (n=3), and ActinB-CFP (Puffo) (n=4). The control group is C57BL6/J, comparisons are all others vs this control. We selected a purification protocol that activates as little as possible the cells, though the purity is around 85%.","mouse","15","8000","9770","strain,nnm",""
"11","gonzalez2018-neutrophils0-nnm-8k.pgx","RNA-seq","Neutrophils from mouse (Gonzalez Lab). Briefly, We isolated neutrophils from 4 different groups of mice: C57BL6/J (n=4), UBC-GFP knock-in (n=4), UBC-mCherry knock-in (n=3), and ActinB-CFP (Puffo) (n=4). The control group is C57BL6/J, comparisons are all others vs this control. We selected a purification protocol that activates as little as possible the cells, though the purity is around 85%.","mouse","15","8000","9770","strain,nnm",""
"12","gonzalez2018-nkvaccination-LT.pgx","","","mouse","6","1334","9003","time","2019-04-18"
"13","gonzalez2018-nkvaccination.pgx","","","mouse","6","1334","9003","time","2019-04-18"
"14","grassi2018-p2rx7-LT.pgx","mRNA (mouse)","Grassi mouse P2RX7 knock-out vs wildtype. CONFIDENTIAL DATA.","mouse","6","1985","8375","treatment,p2rx7","2019-02-15"
"15","grassi2018-p2rx7.pgx","mRNA (mouse)","Grassi mouse P2RX7 knock-out vs wildtype. CONFIDENTIAL DATA.","mouse","6","1985","8375","treatment,p2rx7","2019-02-15"
"16","grassi2019-gf-8k-LT.pgx","mRNA micro-array","WT and JH mice and three treatments GF, GF_pBAD, GF_pHND10. (Grassi Lab). CONFIDENTIAL DATA.","mouse","23","8000","11132","strain,treatment","2019-03-08"
"17","grassi2019-gf-8k.pgx","mRNA micro-array","WT and JH mice and three treatments GF, GF_pBAD, GF_pHND10. (Grassi Lab). CONFIDENTIAL DATA.","mouse","23","8000","11132","strain,treatment","2019-03-08"
"18","GSE10846-dlbcl-mRNA-8k-LT.pgx","mRNA (microarray)","GSE10846 data set (Lenz et al, 2008). The retrospective study included 181 clinical samples from CHOP-treated patients and 233 clinical samples from Rituximab-CHOP-treated patients. DLBCL has ABC and GCB subtypes.","human","120","8000","11050","dlbcl.type,gender,age,LDH.ratio,Chemotherapy,OS.status,OS.years","2019-03-01"
