probe,source
cg00001510,chen2013_450k
cg00003969,chen2013_450k
cg00004121,chen2013_450k
cg00004192,chen2013_450k
cg00004209,chen2013_450k
cg00004771,chen2013_450k
cg00005390,chen2013_450k
cg00007215,chen2013_450k
cg00007810,chen2013_450k
cg00009038,chen2013_450k
cg00009796,chen2013_450k
cg00010242,chen2013_450k
cg00011994,chen2013_450k
cg00012343,chen2013_450k
cg00013196,chen2013_450k
cg00013540,chen2013_450k
cg00013543,chen2013_450k
cg00014168,chen2013_450k
cg00014561,chen2013_450k
cg00014748,chen2013_450k
cg00015261,chen2013_450k
cg00015286,chen2013_450k
cg00015572,chen2013_450k
cg00016802,chen2013_450k
cg00017221,chen2013_450k
cg00017437,chen2013_450k
cg00021044,chen2013_450k
cg00022262,chen2013_450k
cg00022606,chen2013_450k
cg00023750,chen2013_450k
cg00025185,chen2013_450k
cg00028232,chen2013_450k
cg00029052,chen2013_450k
cg00029928,chen2013_450k
cg00030125,chen2013_450k
cg00030176,chen2013_450k
cg00031556,chen2013_450k
cg00033102,chen2013_450k
cg00033127,chen2013_450k
cg00033584,chen2013_450k
cg00034407,chen2013_450k
cg00034468,chen2013_450k
cg00034556,chen2013_450k
cg00034639,chen2013_450k
cg00035452,chen2013_450k
cg00035864,chen2013_450k
cg00036614,chen2013_450k
cg00038131,chen2013_450k
cg00038233,chen2013_450k
cg00039936,chen2013_450k
cg00041636,chen2013_450k
cg00041641,chen2013_450k
cg00042254,chen2013_450k
cg00044501,chen2013_450k
cg00045532,chen2013_450k
cg00045748,chen2013_450k
cg00047162,chen2013_450k
cg00047553,chen2013_450k
cg00048838,chen2013_450k
cg00049947,chen2013_450k
cg00050555,chen2013_450k
cg00051510,chen2013_450k
cg00051623,chen2013_450k
cg00052561,chen2013_450k
cg00052626,chen2013_450k
cg00053647,chen2013_450k
cg00054352,chen2013_450k
cg00055233,chen2013_450k
cg00055726,chen2013_450k
cg00056268,chen2013_450k
cg00057434,chen2013_450k
cg00057517,chen2013_450k
cg00058449,chen2013_450k
cg00059374,chen2013_450k
cg00059643,chen2013_450k
cg00059782,chen2013_450k
cg00060715,chen2013_450k
cg00061679,chen2013_450k
cg00062592,chen2013_450k
cg00063040,chen2013_450k
cg00064336,chen2013_450k
cg00064531,chen2013_450k
cg00065226,chen2013_450k
cg00065998,chen2013_450k
cg00066668,chen2013_450k
cg00068684,chen2013_450k
cg00069967,chen2013_450k
cg00070242,chen2013_450k
cg00070542,chen2013_450k
cg00070870,chen2013_450k
cg00071045,chen2013_450k
cg00071137,chen2013_450k
cg00071575,chen2013_450k
cg00071869,chen2013_450k
cg00072839,chen2013_450k
cg00073384,chen2013_450k
cg00074638,chen2013_450k
cg00075844,chen2013_450k
cg00077299,chen2013_450k
cg00077567,chen2013_450k
cg00080418,chen2013_450k
cg00081141,chen2013_450k
cg00081465,chen2013_450k
cg00081852,chen2013_450k
cg00082981,chen2013_450k
cg00084958,chen2013_450k
cg00085889,chen2013_450k
cg00087301,chen2013_450k
cg00087746,chen2013_450k
cg00088251,chen2013_450k
cg00089430,chen2013_450k
cg00090612,chen2013_450k
cg00091063,chen2013_450k
cg00091178,chen2013_450k
cg00091552,chen2013_450k
cg00093354,chen2013_450k
cg00093794,chen2013_450k
cg00094044,chen2013_450k
cg00094269,chen2013_450k
cg00094319,chen2013_450k
cg00095105,chen2013_450k
cg00096747,chen2013_450k
cg00097415,chen2013_450k
cg00097645,chen2013_450k
cg00097790,chen2013_450k
cg00098188,chen2013_450k
cg00098451,chen2013_450k
cg00099129,chen2013_450k
cg00100121,chen2013_450k
cg00101712,chen2013_450k
cg00102266,chen2013_450k
cg00103771,chen2013_450k
cg00104098,chen2013_450k
cg00105229,chen2013_450k
cg00105368,chen2013_450k
cg00105403,chen2013_450k
cg00106254,chen2013_450k
cg00106920,chen2013_450k
cg00108524,chen2013_450k
cg00109148,chen2013_450k
cg00110695,chen2013_450k
cg00111466,chen2013_450k
cg00111532,chen2013_450k
cg00111723,chen2013_450k
cg00112042,chen2013_450k
cg00112558,chen2013_450k
cg00114503,chen2013_450k
cg00114618,chen2013_450k
cg00115102,chen2013_450k
cg00115714,chen2013_450k
cg00116265,chen2013_450k
cg00116558,chen2013_450k
cg00116686,chen2013_450k
cg00117908,chen2013_450k
cg00117965,chen2013_450k
cg00118363,chen2013_450k
cg00119034,chen2013_450k
cg00120274,chen2013_450k
cg00121030,chen2013_450k
cg00121148,chen2013_450k
cg00121366,chen2013_450k
cg00123057,chen2013_450k
cg00125002,chen2013_450k
cg00125148,chen2013_450k
cg00125858,chen2013_450k
cg00128171,chen2013_450k
cg00128430,chen2013_450k
cg00129524,chen2013_450k
cg00131121,chen2013_450k
cg00133223,chen2013_450k
cg00134041,chen2013_450k
cg00134340,chen2013_450k
cg00134695,chen2013_450k
cg00135121,chen2013_450k
cg00135841,chen2013_450k
cg00137611,chen2013_450k
cg00137629,chen2013_450k
cg00137745,chen2013_450k
cg00137846,chen2013_450k
cg00140494,chen2013_450k
cg00141295,chen2013_450k
cg00144039,chen2013_450k
cg00144832,chen2013_450k
cg00145419,chen2013_450k
cg00145596,chen2013_450k
cg00145866,chen2013_450k
cg00147332,chen2013_450k
cg00147751,chen2013_450k
cg00148558,chen2013_450k
cg00148867,chen2013_450k
cg00149805,chen2013_450k
cg00152034,chen2013_450k
cg00152644,chen2013_450k
cg00152757,chen2013_450k
cg00153942,chen2013_450k
cg00154920,chen2013_450k
cg00155844,chen2013_450k
cg00156057,chen2013_450k
cg00156684,chen2013_450k
cg00157477,chen2013_450k
cg00158227,chen2013_450k
cg00159780,chen2013_450k
cg00159873,chen2013_450k
cg00160018,chen2013_450k
cg00160462,chen2013_450k
