speciesType	tissueType	UberonOntologyID	cancerType	cellType	cellName	CellOntologyID	cellMarker	geneSymbol	geneID	proteinName	proteinID	markerResource	PMID	Company
Mouse	Bone marrow	UBERON_0002371	Normal	Normal cell	Blastema cell	CL_0000354	CD31, Sca-1, Vim	Pecam1, Ly6a, Vim	18613, 110454, 22352	PECA1, LY6A, VIME	Q08481, P05533, P20152	Experiment	29105393	NA
Mouse	Taste bud	UBERON_0001727	Normal	Normal cell	Type II taste bud cell	CL_0002285	Gustducin, PLC beta2	Plcb2, Gnat3	18796, 242851	GNAT3, PLCB2	A3KGF7, Q3V3I2	Experiment	29525940	NA
Mouse	Taste bud	UBERON_0001727	Normal	Normal cell	Type III taste bud cell	CL_0002285	AADC, CA4, GAD67, NCAM, SNAP25	Ddc, Car4, Gad1, Ncam1, Snap25	13195, 12351, 14451, 17967, 20614	DDC, CAH4, DCE1, NCAM1, SNP25	O88533, P22748, P48318, P13595, P60879	Experiment	29525940	NA
Mouse	Adipose tissue	UBERON_0001013	Normal	Normal cell	Adipose-derived stem cell	CL_0000034	Sca-1	Ly6a	110454	LY6A	P05533	Experiment	24726953	NA
Mouse	Undefined	NA	Normal	Normal cell	Regulatory T (Treg) cell	CL_0000815	CD49b, LAG3	Itga2, Lag3	16398, 16768	ITA2, LAG3	Q62469, P18627	Experiment	28929191	NA
Mouse	Adipose tissue	UBERON_0001013	Normal	Normal cell	White fat cell	CL_0000448	Asc-1	Slc7a10	53896	AAA1	P63115	Experiment	25080478	NA
Mouse	Meniscus	UBERON_0000387	Normal	Normal cell	Meniscus-derived stem cell	NA	CD105, CD34, CD44, CD73, CD90, Sca-1	Eng, Cd34, Cd44, Nt5e, Thy1, Ly6a	13805, 12490, 12505, 23959, 21838, 110454	EGLN, CD34, CD44, 5NTD, THY1, LY6A	Q63961, Q64314, P15379, Q61503, P01831, P05533	Experiment	28005443	NA
Mouse	Meniscus	UBERON_0000387	Normal	Normal cell	Meniscus-derived progenitor cell	NA	CD105, CD34, CD44, CD73, CD90, Sca-1	Eng, Cd34, Cd44, Nt5e, Thy1, Ly6a	13805, 12490, 12505, 23959, 21838, 110454	EGLN, CD34, CD44, 5NTD, THY1, LY6A	Q63961, Q64314, P15379, Q61503, P01831, P05533	Experiment	28005443	NA
Mouse	Peyer patch	UBERON_0001211	Normal	Normal cell	B cell	CL_0000236	CD45R	Ptprc	19264	PTPRC	P06800	Experiment	24182520	NA
Mouse	Peyer patch	UBERON_0001211	Normal	Normal cell	T cell	CL_0000084	CD3	[Cd3d, Cd3e, Cd3g]	[12500, 12501, 12502]	[CD3D, CD3E, CD3G]	[P04235, P22646, P11942]	Experiment	24182520	NA
Mouse	Peyer patch	UBERON_0001211	Normal	Normal cell	T cell	CL_0000084	CD4	Cd4	12504	CD4	P06332	Experiment	24182520	NA
Mouse	Peyer patch	UBERON_0001211	Normal	Normal cell	T cell	CL_0000084	CD8	Cd8a	12525	CD8A	P01731	Experiment	24182520	NA
Mouse	Peyer patch	UBERON_0001211	Normal	Normal cell	Dendritic cell	CL_0000451	CD11c	Itgax	16411	ITAX	Q9QXH4	Experiment	24182520	NA
Mouse	Thyroid	UBERON_0002046	Papillary Thyroid Carcinoma	Cancer cell	Cancer stem cell	NA	Pou5f1	Pou5f1	18999	PO5F1	P20263	Experiment	24302752	NA
Mouse	Lung	UBERON_0002048	Normal	Normal cell	Alveolar macrophage	CL_0000583	CD11b, F4/80	Itgam, Adgre1	16409, 13733	ITAM, AGRE1	P05555, Q61549	Experiment	25170302	NA
Mouse	Kidney	UBERON_0002113	Renal Cell Carcinoma	Cancer cell	Tumor endothelial cell	CL_0000115	SBSN	Sbsn	282619	SBSN	Q8CIT9	Experiment	25283635	NA
Mouse	Heart	UBERON_0000948	Normal	Normal cell	Fibroblast	CL_0000057	Thy1	Thy1	21838	THY1	P01831	Experiment	25037571	NA
Mouse	Lung	UBERON_0002048	Normal	Normal cell	Anterior foregut endoderm cell	CL_0000223	Carboxypeptidase M	Cpm	70574	CBPM	Q80V42	Experiment	25241738	NA
Mouse	Skin	UBERON_0002097	Cutaneous Squamous Cell Carcinoma	Cancer cell	Cancer stem cell	NA	Lgr6	Lgr6	59352	LGR6	Q3UVD5	Experiment	28945253	NA
Mouse	Bone marrow	UBERON_0002371	Normal	Normal cell	CD8a+ dendritic cell	CL_0002059	Acvrl1, CD8a	Acvrl1, CD8a	11482, 12525	ACVL1, CD8A	Q61288, P01731	Experiment	27421479	NA
Mouse	Epidermis	UBERON_0001003	Normal	Normal cell	Epidermal stem cell	CL_1000428	Integrin beta-1, CD34, K14, K15, P63	Itgb1, Cd34, Krt14, Krt15, Tcp1	16412, 12490, 16664, 16665, 21454	ITB1, CD34, K1C14, K1C15, P63	P09055, Q64314, Q61781, Q61414, O88898	Experiment	24660112	NA
Mouse	Spleen	UBERON_0002106	Normal	Normal cell	CD4+ T follicular helper cell	CL_0002038	CD73, FR4	Nt5e, Izumo1r	23959, 64931	5NTD, JUNO	Q61503, Q9EQF4	Experiment	24030473	NA
Mouse	Brain	UBERON_0000955	Normal	Normal cell	Astrocyte	CL_0000127	ACSA-2	NA	NA	NA	NA	Experiment	28317180	NA
Mouse	Brain	UBERON_0000955	Normal	Normal cell	Radial glial cell	CL_0000681	ACSA-2	NA	NA	NA	NA	Experiment	28317180	NA
Mouse	Brain	UBERON_0000955	Normal	Normal cell	Neural stem cell	CL_0000047	ACSA-2	NA	NA	NA	NA	Experiment	28317180	NA
Mouse	Brain	UBERON_0000955	Normal	Normal cell	Bipotent glial progenitor cell	NA	ACSA-2	NA	NA	NA	NA	Experiment	28317180	NA
Mouse	Blood	UBERON_0000178	Normal	Normal cell	Hematopoietic stem cell	CL_0000037	CD11a, EPCR	Itgal, Procr	16408, 19124	ITAL, EPCR	P24063, Q64695	Experiment	29543389	NA
Mouse	Blood	UBERON_0000178	Normal	Normal cell	Hematopoietic stem cell	CL_0000037	CD150, CD48	Slamf1, Cd48	27218, 12506	SLAF1, CD48	Q9QUM4, P18181	Experiment	29543389	NA
Mouse	Lung	UBERON_0002048	Lung Cancer	Cancer cell	Cancer stem cell	NA	CD133, c-Myc, Klf4, Oct4, Sox2	Prom1, Myc, Klf4, Pou5f1, Sox2	19126, 17869, 16000, 18999, 20674	PROM1, MYC, KLF4, PO5F1, SOX2	O54990, P01108, Q60793, P20263, P48432	Experiment	29228576	NA
Mouse	Bone marrow	UBERON_0002371	Normal	Normal cell	Macrophage	CL_0000235	CD16, CD206, CD23	Fcgr3, Mrc1, Fcer2a	14131, 17533, 14128	FCGR3, MRC1, FCER2	P08508, Q61830, P20693	Experiment	24169290	NA
Mouse	Small intestine	UBERON_0002108	Normal	Normal cell	Dendritic cell	CL_0000451	CD11c, CD74, CD83, CD86	Itgax, Cd74, Cd83, Cd86	16411, 16149, 12522, 12524	ITAX, HG2A, CD83, CD86	Q9QXH4, P04441, O88324, P42082	Experiment	27832135	NA
Mouse	Spleen	UBERON_0002106	Normal	Normal cell	Dendritic cell	CL_0000451	CD11c, CD74, CD83, CD86	Itgax, Cd74, Cd83, Cd86	16411, 16149, 12522, 12524	ITAX, HG2A, CD83, CD86	Q9QXH4, P04441, O88324, P42082	Experiment	27832135	NA
Mouse	Serum	UBERON_0001977	Normal	Normal cell	Classical macrophage	CL_0000235	IFN-gamma, Interleukin-6	Ifng, Il6	15978, 16193	IFNG, IL6	P01580, P08505	Experiment	24280370	NA
Mouse	Serum	UBERON_0001977	Normal	Normal cell	Alternative macrophage	CL_0000235	Arginase-1, FIZZ1, MHC class II	Arg1, Retnla, MHC class II	11846, 57262, MHC class II	ARGI1, RETNA, MHC class II	Q61176, Q9EP95, MHC class II	Experiment	24280370	NA
Mouse	Peripheral blood	UBERON_0005408	Normal	Normal cell	Hematopoietic stem cell	CL_0000037	CD31, c-Kit, Sca-1	Pecam1, Kit, Ly6a	18613, 16590, 110454	PECA1, KIT, LY6A	Q08481, P05532, P05533	Experiment	27729946	NA
Mouse	Peripheral blood	UBERON_0005408	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD105, CD31, Sca-1	Eng, Pecam1, Ly6a	13805, 18613, 110454	EGLN, PECA1, LY6A	Q63961, Q08481, P05533	Experiment	27729946	NA
Mouse	Peripheral blood	UBERON_0005408	Normal	Normal cell	Endothelial progenitor cell	CL_0002619	CD31, c-Kit, Sca-1	Pecam1, Kit, Ly6a	18613, 16590, 110454	PECA1, KIT, LY6A	Q08481, P05532, P05533	Experiment	27729946	NA
Mouse	Adipose tissue	UBERON_0001013	Normal	Normal cell	Adipose-derived stem cell	CL_0000034	CD29, CD44	Itgb1, Cd44	16412, 12505	ITB1, CD44	P09055, P15379	Experiment	24171341	NA
Mouse	Bone marrow	UBERON_0002371	Normal	Normal cell	Endothelial progenitor cell	CL_0002619	CD309, CD34	Kdr, Cd34	16542, 12490	VGFR2, CD34	P35918, Q64314	Experiment	24247795	NA
Mouse	Adipose tissue	UBERON_0001013	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD34, CD44, CD90	Cd34, Cd44, Thy1	12490, 12505, 21838	CD34, CD44, THY1	Q64314, P15379, P01831	Experiment	27569972	NA
Mouse	Adipose tissue	UBERON_0001013	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD105, CD34, CD44, CD45	Eng, Cd34, Cd44, Ptprc	13805, 12490, 12505, 19264	EGLN, CD34, CD44, PTPRC	Q63961, Q64314, P15379, P06800	Experiment	24999489	NA
Mouse	Blood	UBERON_0000178	Chronic Myeloid Leukemia	Cancer cell	Cancer stem cell	NA	c-Kit, Sca-1	Kit, Ly6a	16590, 110454	KIT, LY6A	P05532, P05533	Experiment	27581138	NA
Mouse	Bone marrow	UBERON_0002371	Normal	Normal cell	M2 macrophage	CL_0000890	IL-13R-alpha1	Il13ra1	16164	I13R1	O09030	Experiment	24281978	NA
Mouse	Bone marrow	UBERON_0002371	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	GD2	B4galnt1	14421	B4GN1	Q09200	Experiment	24107641	NA
Mouse	Retina	UBERON_0000966	Normal	Normal cell	Rod photoreceptor precursor cell	NA	CD73	Nt5e	23959	5NTD	Q61503	Experiment	24638161	NA
Mouse	Undefined	NA	Normal	Normal cell	Pluripotent stem cell	CL_0002248	Cdh11, Efna2, Gpc3, Prss50	Cdh11, Efna2, Gpc3, Prss50	12552, 13637, 14734, 235631	CAD11, EFNA2, GPC3, TSP50	P55288, P52801, Q8CFZ4, Q8BLH5	Experiment	22493178	NA
Mouse	Undefined	NA	Normal	Normal cell	Pluripotent stem cell	CL_0002248	CD112, CD31, CD326, CD49f	Nectin2, Pecam1, Epcam, Itga6	19294, 18613, 17075, 16403	NECT2, PECA1, EPCAM, ITA6	P32507, Q08481, Q99JW5, Q61739	Experiment	22493178	NA
Mouse	Brain	UBERON_0000955	Normal	Normal cell	Peripheral monocyte	CL_0000576	CD11b	Itgam	16409	ITAM	P05555	Experiment	25830951	NA
Mouse	Bone marrow	UBERON_0002371	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD105, CD106, CD11b, CD29, CD44, CD45, CD73, Sca-1	Eng, Vcam1, Itgam, Itgb1, Cd44, Ptprc, Nt5e, Ly6a	13805, 22329, 16409, 16412, 12505, 19264, 23959, 110454	EGLN, VCAM1, ITAM, ITB1, CD44, PTPRC, 5NTD, LY6A	Q63961, P29533, P05555, P09055, P15379, P06800, Q61503, P05533	Experiment	28537524	NA
Mouse	Cerebellum	UBERON_0002037	Normal	Normal cell	Rhombic lip cell	NA	Lmx1a, Math1, Pax6, Tbr2, Wls	Lmx1a, Atoh1, Pax6, Eomes, Wls	110648, 11921, 18508, 13813, 68151	LMX1A, ATOH1, PAX6, EOMES, WLS	Q9JKU8, P48985, P63015, O54839, Q6DID7	Experiment	25209290	NA
