"","gene_name","gene_alias","gene_title","chr","map"
"A1BG","A1BG","A1BG","alpha-1-B glycoprotein","19","19q13.43"
"A2LD1","A2LD1","A2LD1",NA,NA,NA
"A2M","A2M","A2M","alpha-2-macroglobulin","12","12p13.31"
"AAAS","AAAS","AAAS","aladin WD repeat nucleoporin","12","12q13.13"
"AACS","AACS","AACS","acetoacetyl-CoA synthetase","12","12q24.31"
"AAGAB","AAGAB","AAGAB","alpha and gamma adaptin binding protein","15","15q23"
"AAK1","AAK1","AAK1","AP2 associated kinase 1","2","2p13.3"
"AAMP","AAMP","AAMP","angio associated migratory cell protein","2","2q35"
"AARS","AARS","AARS","alanyl-tRNA synthetase","16","16q22.1"
"AARS2","AARS2","AARS2","alanyl-tRNA synthetase 2, mitochondrial","6","6p21.1"
"AARSD1","AARSD1","AARSD1","alanyl-tRNA synthetase domain containing 1","17","17q21.31"
"AASDH","AASDH","AASDH","aminoadipate-semialdehyde dehydrogenase","4","4q12"
"AASDHPPT","AASDHPPT","AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","11","11q22.3"
"AASS","AASS","AASS","aminoadipate-semialdehyde synthase","7","7q31.32"
"AATF","AATF","AATF","apoptosis antagonizing transcription factor","17","17q12"
"ABAT","ABAT","ABAT","4-aminobutyrate aminotransferase","16","16p13.2"
"ABCB10","ABCB10","ABCB10","ATP binding cassette subfamily B member 10","1","1q42.13"
"ABCB6","ABCB6","ABCB6","ATP binding cassette subfamily B member 6 (Langereis blood group)","2","2q35"
"ABCB7","ABCB7","ABCB7","ATP binding cassette subfamily B member 7","X","Xq13.3"
"ABCB8","ABCB8","ABCB8","ATP binding cassette subfamily B member 8","7","7q36.1"
"ABCC1","ABCC1","ABCC1","ATP binding cassette subfamily C member 1","16","16p13.11"
"ABCC4","ABCC4","ABCC4","ATP binding cassette subfamily C member 4","13","13q32.1"
"ABCD1","ABCD1","ABCD1","ATP binding cassette subfamily D member 1","X","Xq28"
"ABCD2","ABCD2","ABCD2","ATP binding cassette subfamily D member 2","12","12q12"
"ABCD3","ABCD3","ABCD3","ATP binding cassette subfamily D member 3","1","1p21.3"
"ABCD4","ABCD4","ABCD4","ATP binding cassette subfamily D member 4","14","14q24.3"
