"ensemble_id","gene_name","description"
"ENSG00000198888","MT-ND1","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]"
"ENSG00000198763","MT-ND2","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]"
"ENSG00000198804","MT-CO1","mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]"
"ENSG00000198712","MT-CO2","mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]"
"ENSG00000228253","MT-ATP8","mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]"
"ENSG00000198899","MT-ATP6","mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]"
"ENSG00000198938","MT-CO3","mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]"
"ENSG00000198840","MT-ND3","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]"
"ENSG00000212907","MT-ND4L","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]"
"ENSG00000198886","MT-ND4","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]"
"ENSG00000198786","MT-ND5","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]"
"ENSG00000198695","MT-ND6","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]"
"ENSG00000198727","MT-CYB","mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]"
"ENSG00000277953","AC012314.16","pre-mRNA processing factor 31 [Source:NCBI gene;Acc:26121]"
"ENSG00000277836","AC141272.1",""
"ENSG00000278817","AC007325.4","protein DGCR6 [Source:NCBI gene;Acc:102724770]"
"ENSG00000257215","CR847794.2",""
"ENSG00000204805","AL391987.2",""
"ENSG00000282035","AC090958.4",""
"ENSG00000273896","TSEN34","tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506]"
"ENSG00000281022","MED22","mediator complex subunit 22 [Source:HGNC Symbol;Acc:HGNC:11477]"
"ENSG00000274053","NCR1","natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]"
"ENSG00000273506","NCR1","natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]"
"ENSG00000277667","AC012314.14","transmembrane channel like 4 [Source:NCBI gene;Acc:147798]"
"ENSG00000278704","BX004987.1",""
"ENSG00000275746","KLF13","Kruppel like factor 13 [Source:HGNC Symbol;Acc:HGNC:13672]"
"ENSG00000278782","AC136616.3",""
"ENSG00000277733","MBOAT7","membrane bound O-acyltransferase domain containing 7 [Source:HGNC Symbol;Acc:HGNC:15505]"
"ENSG00000278363","AC012314.18","transmembrane channel like 4 [Source:NCBI gene;Acc:147798]"
